Unnamed: 0_level_0,Unnamed: 1_level_0,Player,Round 1,Round 1,Unnamed: 5_level_0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,Draft_Year
1,1,NOP,Zion Williamson,Duke,5,214,6714,5279,1415,920,.589,.327,.689,31.4,24.7,6.6,4.3,24.2,.173,4.9,11.8,2019
2,2,MEM,Ja Morant,Murray State,6,307,9801,6942,1448,2267,.469,.316,.766,31.9,22.6,4.7,7.4,24.1,.118,2.7,11.8,2019
3,3,NYK,RJ Barrett,Duke,6,387,12814,7293,2150,1276,.441,.346,.697,33.1,18.8,5.6,3.3,13.3,.050,-1.7,0.9,2019
4,4,LAL,De'Andre Hunter,Virginia,6,327,9820,4839,1336,497,.452,.373,.819,30.0,14.8,4.1,1.5,12.1,.059,-2.6,-1.5,2019
5,5,CLE,Darius Garland,Vanderbilt,6,382,12693,7204,1015,2558,.453,.388,.867,33.2,18.9,2.7,6.7,24.6,.093,0.3,7.3,2019
6,6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,.401,.276,.509,17.2,6.5,2.8,1.2,-0.1,-.001,-4.5,-1.6,2019
7,7,CHI,Coby White,UNC,6,422,12566,6405,1539,1618,.433,.369,.865,29.8,15.2,3.6,3.8,17.9,.069,-1.5,1.5,2019
8,8,ATL,Jaxson Hayes,Texas,6,367,6022,2494,1443,259,.649,.261,.696,16.4,6.8,3.9,0.7,20.1,.160,-0.4,2.5,2019
9,9,WAS,Rui Hachimura,Gonzaga,6,337,9345,4318,1638,439,.496,.381,.764,27.7,12.8,4.9,1.3,15.6,.080,-1.9,0.2,2019
10,10,ATL,Cam Reddish,Duke,6,254,5876,2151,678,297,.398,.322,.821,23.1,8.5,2.7,1.2,3.3,.027,-3.1,-1.7,2019
11,11,MIN,Cameron Johnson,UNC,6,340,9020,4395,1342,664,.453,.392,.851,26.5,12.9,3.9,2.0,22.9,.122,1.6,8.2,2019
12,12,CHO,P.J. Washington,Kentucky,6,390,11917,5121,2282,878,.448,.358,.709,30.6,13.1,5.9,2.3,14.8,.060,-1.2,2.4,2019
13,13,MIA,Tyler Herro,Kentucky,6,361,11763,6987,1802,1460,.448,.382,.874,32.6,19.4,5.0,4.0,19.9,.081,0.7,8.0,2019
14,14,BOS,Romeo Langford,Indiana,4,141,2268,650,298,97,.430,.288,.659,16.1,4.6,2.1,0.7,2.0,.043,-3.4,-0.8,2019
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,.388,.256,.693,17.1,5.6,2.8,0.7,-0.4,-.013,-6.5,-1.8,2019
16,16,ORL,Chuma Okeke,Auburn,5,198,4028,1242,751,291,.387,.321,.787,20.3,6.3,3.8,1.5,5.0,.060,-1.1,1.0,2019
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,6,381,7942,3258,948,882,.414,.360,.743,20.8,8.6,2.5,2.3,10.2,.062,-1.2,1.6,2019
18,18,IND,Goga Bitadze,,6,319,4605,1732,1319,370,.541,.230,.662,14.4,5.4,4.1,1.2,14.9,.155,0.8,3.3,2019
19,19,SAS,Luka Šamanić,,4,86,921,384,210,55,.411,.247,.706,10.7,4.5,2.4,0.6,0.0,.001,-5.6,-0.8,2019
20,20,BOS,Matisse Thybulle,Washington,6,347,7269,1698,710,388,.438,.343,.661,20.9,4.9,2.0,1.1,14.1,.093,0.9,5.3,2019
21,21,OKC,Brandon Clarke,Gonzaga,6,307,6392,3136,1683,409,.606,.266,.698,20.8,10.2,5.5,1.3,24.6,.185,2.4,7.1,2019
22,22,BOS,Grant Williams,Tennessee,6,380,8710,2724,1393,552,.452,.377,.774,22.9,7.2,3.7,1.5,15.5,.085,-1.9,0.3,2019
23,23,UTA,Darius Bazley,,5,237,5536,2113,1244,282,.414,.309,.677,23.4,8.9,5.2,1.2,3.1,.027,-2.4,-0.6,2019
