Unnamed: 0_level_0,Unnamed: 1_level_0,Player,Round 1,Round 1,Unnamed: 5_level_0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,Draft_Year
27,27,UTA,Udoka Azubuike,Kansas,4,84,724,256,235,14,.758,,.444,8.6,3.0,2.8,0.2,2.0,.133,-1.5,0.1,2020
28,28,LAL,Jaden McDaniels,Washington,5,366,10449,3784,1526,562,.482,.348,.752,28.5,10.3,4.2,1.5,17.9,.082,-1.8,0.5,2020
29,29,TOR,Malachi Flynn,San Diego State,5,217,3076,1184,376,414,.387,.333,.747,14.2,5.5,1.7,1.9,2.9,.045,-2.6,-0.5,2020
30,30,BOS,Desmond Bane,TCU,5,313,9274,5580,1438,1179,.472,.410,.883,29.6,17.8,4.6,3.8,25.5,.132,2.4,10.4,2020
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2020
31,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,.353,.000,.333,4.5,1.0,0.5,0.5,0.0,-.035,-4.8,0.0,2020
32,32,CHO,Vernon Carey Jr.,Duke,3,37,187,72,50,5,.474,.143,.654,5.1,1.9,1.4,0.1,0.2,.058,-6.3,-0.2,2020
33,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,.431,.167,.706,5.7,1.9,1.6,0.3,0.3,.086,-5.2,-0.2,2020
34,34,PHI,Théo Maledon,,4,177,3753,1373,489,518,.372,.310,.793,21.2,7.8,2.8,2.9,-0.2,-.002,-4.6,-2.4,2020
35,35,SAC,Xavier Tillman Sr.,Michigan State,5,260,4171,1389,978,317,.509,.252,.577,16.0,5.3,3.8,1.2,10.0,.115,-0.1,2.0,2020
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,-.033,-9.5,-0.1,2020
