Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,Long_Career
19,DEN,Malik Beasley,Florida State,9,578,13739,6738,1612,789,0.426,0.391,0.769,23.8,11.7,2.8,1.4,20.1,0.07,-0.9,3.7,2016,0.7831978319783198,4.199999999999999,0.05263157894736842,-0.04736842105263158,0.44630000000000003,0.49042870660164495,0.11733022781861853,0.057427760390130284,0.03477508650519032,0,1
20,IND,Caris LeVert,Michigan,9,524,14551,7274,1981,2105,0.437,0.345,0.736,27.8,13.9,3.8,4.0,23.9,0.079,-0.2,6.5,2016,0.7100271002710027,7.8,0.05,-0.010000000000000002,0.4301,0.4998969143014226,0.13614184592124254,0.14466359700364237,0.04561068702290076,0,1
21,ATL,DeAndre' Bembry,Saint Joseph's,6,296,5670,1750,950,533,0.474,0.283,0.611,19.2,5.9,3.2,1.8,4.4,0.038,-2.3,-0.4,2016,0.6016260162601627,5.0,0.047619047619047616,-0.10952380952380951,0.41129999999999994,0.30864197530864196,0.1675485008818342,0.09400352733686067,0.014864864864864866,0,1
22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,8.9,2.8,1.0,0.3,-0.1,-0.009,-6.1,-0.7,2016,0.2845528455284553,1.3,0.045454545454545456,-0.2772727272727273,0.37770000000000004,0.3168,0.112,0.0384,-0.0014285714285714286,0,0
25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0.0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0.0,2016,0.12804878048780488,1.7000000000000002,0.04,-0.024,0.2845,0.4392523364485981,0.3177570093457944,0.028037383177570093,0.004761904761904762,0,0
27,TOR,Pascal Siakam,New Mexico State,9,629,19637,11325,4183,2261,0.499,0.339,0.763,31.2,18.0,6.7,3.6,55.5,0.136,2.0,19.6,2016,0.8523035230352304,10.3,0.037037037037037035,0.07407407407407407,0.46140000000000003,0.5767174211946835,0.2130162448439171,0.11513978713652798,0.08823529411764706,0,1
28,PHO,Skal Labissière,Kentucky,5,152,2607,1074,665,153,0.492,0.36,0.748,17.2,7.1,4.4,1.0,4.4,0.081,-2.3,-0.2,2016,0.37073170731707317,5.4,0.03571428571428571,-0.08214285714285713,0.4648,0.41196777905638665,0.2550824702723437,0.05868814729574223,0.028947368421052635,0,1
29,SAS,Dejounte Murray,Washington,8,503,14745,7803,2925,2718,0.453,0.34,0.79,29.3,15.5,5.8,5.4,26.2,0.085,1.4,12.6,2016,0.7667682926829268,11.2,0.034482758620689655,0.04827586206896552,0.44150000000000006,0.5291963377416073,0.19837232960325535,0.18433367243133267,0.05208747514910537,0,1
30,GSW,Damian Jones,Vanderbilt,8,279,3782,1366,869,193,0.656,0.351,0.715,13.6,4.9,3.1,0.7,11.3,0.143,-1.0,1.0,2016,0.4253048780487805,3.8,0.03333333333333333,-0.03333333333333333,0.5399,0.36118455843469066,0.2297726070861978,0.05103120042305658,0.040501792114695345,0,1
1,PHI,Markelle Fultz,Washington,8,255,6123,2656,817,1111,0.47,0.28,0.732,24.0,10.4,3.2,4.4,8.4,0.066,-1.2,1.2,2017,0.38871951219512196,7.6000000000000005,1.0,-1.2,0.42019999999999996,0.4337742936469051,0.13343132451412706,0.18144700310305406,0.03294117647058824,1,1
2,LAL,Lonzo Ball,UCLA,6,287,8964,3262,1565,1678,0.398,0.362,0.599,31.2,11.4,5.5,5.8,12.6,0.068,1.0,6.7,2017,0.5833333333333334,11.3,0.5,0.5,0.4037,0.3639000446229362,0.17458723784024988,0.18719321731369923,0.04390243902439024,1,1
3,BOS,Jayson Tatum,Duke,8,585,20185,13784,4293,2243,0.459,0.37,0.84,34.5,23.6,7.3,3.8,65.4,0.156,3.8,29.4,2017,0.8917682926829268,11.1,0.3333333333333333,1.2666666666666666,0.4615,0.6828833292048551,0.2126826851622492,0.11112212038642556,0.11179487179487181,1,1
4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,0.416,0.292,0.68,23.1,11.3,4.0,1.8,-1.7,-0.012,-3.8,-3.1,2017,0.7097560975609756,5.8,0.25,-0.95,0.3928,0.4876451324799047,0.17252158380470378,0.07948794284013098,-0.00584192439862543,1,1
5,SAC,De'Aaron Fox,Kentucky,8,531,17661,11399,2082,3262,0.47,0.33,0.746,33.3,21.5,3.9,6.1,33.9,0.092,0.8,12.7,2017,0.8094512195121951,10.0,0.2,0.16000000000000003,0.4416,0.6454334409150104,0.11788686937319517,0.18470075307174,0.06384180790960452,1,1
6,ORL,Jonathan Isaac,Florida State,6,276,5640,2097,1359,222,0.443,0.323,0.749,20.4,7.6,4.9,0.8,14.0,0.119,1.0,4.2,2017,0.5609756097560976,5.7,0.16666666666666666,0.16666666666666666,0.42560000000000003,0.3718085106382979,0.24095744680851064,0.039361702127659576,0.050724637681159424,1,1
7,MIN,Lauri Markkanen,Arizona,8,450,13958,8200,3201,657,0.455,0.371,0.867,31.0,18.2,7.1,1.5,33.1,0.114,1.0,10.6,2017,0.6859756097560976,8.6,0.14285714285714285,0.14285714285714285,0.4626,0.5874767158618713,0.22933084969193293,0.04706978077088408,0.07355555555555555,1,1
9,DAL,Dennis Smith Jr.,NC State,7,326,7601,3160,967,1381,0.407,0.298,0.674,23.3,9.7,3.0,4.2,2.3,0.015,-2.1,-0.2,2017,0.5679442508710801,7.2,0.1111111111111111,-0.23333333333333334,0.3901,0.41573477174056045,0.12722010261807656,0.18168662018155507,0.0070552147239263795,1,1
10,SAC,Zach Collins,Gonzaga,7,378,7137,3013,1827,685,0.482,0.331,0.767,18.9,8.0,4.8,1.8,11.9,0.08,-1.5,0.9,2017,0.6585365853658537,6.6,0.1,-0.15000000000000002,0.4501,0.4221661762645369,0.25598991172761665,0.09597870253607958,0.031481481481481485,1,1
11,CHO,Malik Monk,Kentucky,8,523,11943,6444,1377,1657,0.434,0.35,0.848,22.8,12.3,2.6,3.2,15.2,0.061,-1.0,2.9,2017,0.7972560975609756,5.800000000000001,0.09090909090909091,-0.09090909090909091,0.44179999999999997,0.5395629238884703,0.11529766390354182,0.13874235954115383,0.029063097514340344,1,1
12,DET,Luke Kennard,Duke,8,460,10759,4517,1301,1045,0.457,0.438,0.881,23.4,9.8,2.8,2.3,23.6,0.105,0.0,5.4,2017,0.7012195121951219,5.1,0.08333333333333333,0.0,0.49180000000000007,0.41983455711497353,0.12092201877497909,0.09712798587229296,0.05130434782608696,1,1
13,DEN,Donovan Mitchell,Louisville,8,539,18243,13320,2324,2530,0.449,0.366,0.84,33.8,24.7,4.3,4.7,51.9,0.137,3.5,25.2,2017,0.8216463414634146,9.0,0.07692307692307693,0.2692307692307693,0.4549,0.7301430685742477,0.12739132818067203,0.13868333059255605,0.09628942486085343,1,1
14,MIA,Bam Adebayo,Kentucky,8,567,17354,8923,5024,2044,0.537,0.314,0.756,30.6,15.7,8.9,3.6,57.6,0.159,2.5,19.9,2017,0.864329268292683,12.5,0.07142857142857142,0.17857142857142855,0.4697,0.5141754062463986,0.28950097960124466,0.11778264377088855,0.10158730158730159,1,1
15,POR,Justin Jackson,UNC,7,280,4886,1676,654,285,0.423,0.319,0.796,17.5,6.0,2.3,1.0,5.3,0.052,-2.8,-1.0,2017,0.4878048780487805,3.3,0.06666666666666667,-0.18666666666666665,0.4187,0.34302087597216535,0.13385182153090464,0.058329922226770366,0.018928571428571427,0,1
16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,0.404,0.25,0.667,13.5,3.9,2.7,0.9,0.4,0.066,-2.8,-0.1,2017,0.06707317073170732,3.6,0.0625,-0.175,0.3687,0.2905405405405405,0.20270270270270271,0.06418918918918919,0.018181818181818184,0,0
17,MIL,D.J. Wilson,Michigan,6,148,1818,657,454,110,0.422,0.331,0.618,12.3,4.4,3.1,0.7,2.9,0.077,-2.4,-0.2,2017,0.3008130081300813,3.8,0.058823529411764705,-0.1411764705882353,0.40520000000000006,0.3613861386138614,0.24972497249724973,0.06050605060506051,0.019594594594594596,0,1
18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,0.492,0.341,0.585,8.5,3.3,1.9,0.3,2.7,0.104,-1.8,0.1,2017,0.4451219512195122,2.1999999999999997,0.05555555555555555,-0.09999999999999999,0.4409,0.3852988691437803,0.22859450726978997,0.034733441033925685,0.018493150684931507,0,0
19,ATL,John Collins,Wake Forest,8,472,13739,7553,3805,697,0.546,0.363,0.792,29.1,16.0,8.1,1.5,39.2,0.137,0.7,9.2,2017,0.7195121951219512,9.6,0.05263157894736842,0.03684210526315789,0.4974,0.5497488900211078,0.2769488317927069,0.050731494286338163,0.08305084745762713,0,1
20,POR,Harry Giles,Duke,4,165,1935,888,573,180,0.508,0.244,0.661,11.7,5.4,3.5,1.1,3.1,0.076,-2.5,-0.2,2017,0.5030487804878049,4.6,0.05,-0.125,0.4177,0.45891472868217054,0.2961240310077519,0.09302325581395349,0.018787878787878787,0,0
22,BRK,Jarrett Allen,Texas,8,568,16021,7288,5239,948,0.641,0.164,0.712,28.2,12.8,9.2,1.7,66.7,0.2,2.4,17.7,2017,0.8658536585365854,10.899999999999999,0.045454545454545456,0.10909090909090909,0.4573,0.4549029398913925,0.32700830160414457,0.05917233630859497,0.11742957746478874,0,1
23,TOR,OG Anunoby,Indiana,8,492,14854,6333,2144,831,0.474,0.375,0.761,30.2,12.9,4.4,1.7,31.4,0.101,0.2,8.3,2017,0.75,6.1000000000000005,0.043478260869565216,0.008695652173913044,0.4631,0.4263498047663929,0.1443382253938333,0.055944526726807595,0.0638211382113821,0,1
24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,0.5,0.4,0.333,3.7,0.9,0.7,0.2,0.2,0.084,-4.3,-0.1,2017,0.15853658536585366,0.8999999999999999,0.041666666666666664,-0.17916666666666664,0.4433,0.23958333333333334,0.1875,0.0625,0.007692307692307693,0,0
26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,0.438,0.118,0.614,8.7,2.3,2.9,0.7,-0.2,-0.015,-6.2,-0.7,2017,0.3048780487804878,3.5999999999999996,0.038461538461538464,-0.23846153846153847,0.3276,0.2580152671755725,0.332824427480916,0.08549618320610687,-0.002666666666666667,0,0
27,BRK,Kyle Kuzma,Utah,8,541,16855,9210,3413,1446,0.45,0.334,0.721,31.2,17.0,6.3,2.7,14.4,0.041,-1.5,1.9,2017,0.8246951219512195,9.0,0.037037037037037035,-0.05555555555555555,0.4307,0.5464253930584396,0.20249184218332839,0.08579056659744883,0.026617375231053605,0,1
28,LAL,Tony Bradley,UNC,7,193,2107,853,771,96,0.632,0.467,0.667,10.9,4.4,4.0,0.5,8.0,0.182,0.3,1.2,2017,0.3362369337979094,4.5,0.03571428571428571,0.010714285714285713,0.5695,0.4048410061699098,0.3659231134314191,0.045562411010915994,0.04145077720207254,0,1
29,SAS,Derrick White,Colorado,8,494,14081,6399,1808,2065,0.448,0.369,0.852,28.5,13.0,3.7,4.2,39.7,0.135,2.2,15.0,2017,0.7530487804878049,7.9,0.034482758620689655,0.07586206896551724,0.45680000000000004,0.4544421560968681,0.12839997159292663,0.14665151622754066,0.08036437246963564,0,1
30,UTA,Josh Hart,Villanova,8,530,16129,5473,3706,1688,0.471,0.342,0.753,30.4,10.3,7.0,3.2,36.7,0.109,0.5,10.1,2017,0.8079268292682927,10.2,0.03333333333333333,0.016666666666666666,0.4476,0.3393266786533573,0.2297724595449191,0.10465620931241862,0.06924528301886793,0,1
1,PHO,Deandre Ayton,Arizona,7,398,12272,6542,4167,649,0.59,0.23,0.755,30.8,16.4,10.5,1.6,37.6,0.147,0.8,8.7,2018,0.6933797909407665,12.1,1.0,0.8,0.4625,0.5330834419817471,0.3395534550195567,0.052884615384615384,0.09447236180904522,1,1
2,SAC,Marvin Bagley III,Duke,7,289,6474,3479,1889,253,0.518,0.29,0.69,22.4,12.0,6.5,0.9,12.6,0.093,-1.6,0.6,2018,0.5034843205574913,7.4,0.5,-0.8,0.444,0.5373802903923386,0.29178251467408095,0.03907939450108125,0.04359861591695502,1,1
4,MEM,Jaren Jackson Jr.,Michigan State,7,407,11639,7518,2258,602,0.466,0.351,0.792,28.6,18.5,5.5,1.5,28.8,0.119,0.9,8.7,2018,0.7090592334494773,7.0,0.25,0.225,0.4526,0.6459317810808489,0.19400292121316265,0.051722656585617324,0.07076167076167077,1,1
5,DAL,Trae Young,Oklahoma,7,483,16622,12220,1687,4748,0.433,0.352,0.873,34.4,25.3,3.5,9.8,43.3,0.125,2.6,19.3,2018,0.8414634146341463,13.3,0.2,0.52,0.4446,0.7351702562868487,0.10149199855613043,0.28564553002045484,0.08964803312629399,1,1
6,ORL,Mo Bamba,Texas,7,364,6115,2461,1980,306,0.477,0.356,0.682,16.8,6.8,5.4,0.8,15.6,0.123,0.0,3.1,2018,0.6341463414634146,6.2,0.16666666666666666,0.0,0.44910000000000005,0.40245298446443173,0.3237939493049877,0.0500408830744072,0.04285714285714286,1,1
7,CHI,Wendell Carter Jr.,Duke,7,383,10447,4565,3173,765,0.509,0.316,0.729,27.3,11.9,8.3,2.0,27.1,0.124,-0.3,4.5,2018,0.6672473867595818,10.3,0.14285714285714285,-0.04285714285714285,0.45380000000000004,0.4369675504929645,0.30372355700201015,0.07322676366420983,0.07075718015665797,1,1
8,CLE,Collin Sexton,Alabama,7,407,12157,7658,1144,1505,0.47,0.387,0.838,29.9,18.8,2.8,3.7,15.8,0.062,-1.4,1.9,2018,0.7090592334494773,6.5,0.125,-0.175,0.4736,0.629925146006416,0.09410216336267171,0.12379698938882948,0.038820638820638825,1,1
9,NYK,Kevin Knox,Kentucky,7,320,5606,2322,893,233,0.393,0.34,0.723,17.5,7.3,2.8,0.7,0.9,0.008,-4.4,-3.4,2018,0.5574912891986062,3.5,0.1111111111111111,-0.48888888888888893,0.40480000000000005,0.41419907242240456,0.15929361398501604,0.04156261148769176,0.0028125,1,1
10,PHI,Mikal Bridges,Villanova,7,556,18514,8204,2207,1517,0.484,0.371,0.843,33.3,14.8,4.0,2.7,42.0,0.109,0.7,12.6,2018,0.9686411149825784,6.7,0.1,0.06999999999999999,0.47469999999999996,0.44312412228583775,0.1192070865291131,0.08193799287026034,0.07553956834532374,1,1
11,CHO,Shai Gilgeous-Alexander,Kentucky,7,462,15291,11294,2211,2362,0.501,0.355,0.862,33.1,24.4,4.8,5.1,60.4,0.189,5.5,29.1,2018,0.8048780487804879,9.899999999999999,0.09090909090909091,0.5,0.47869999999999996,0.7386044078215944,0.14459485972140476,0.15446994964358118,0.13073593073593073,1,1
12,LAC,Miles Bridges,Michigan State,6,424,13070,6642,2627,1135,0.462,0.34,0.826,30.8,15.7,6.2,2.7,21.3,0.078,-0.1,6.4,2018,0.8617886178861789,8.9,0.08333333333333333,-0.008333333333333333,0.4496,0.5081866870696251,0.2009946442234124,0.08684009181331293,0.050235849056603776,1,1
13,LAC,Jerome Robinson,Boston College,4,135,1685,545,214,136,0.361,0.297,0.711,12.5,4.0,1.6,1.0,-0.2,-0.004,-4.8,-1.2,2018,0.4115853658536585,2.6,0.07692307692307693,-0.36923076923076925,0.3704,0.32344213649851633,0.12700296735905045,0.08071216617210683,-0.0014814814814814816,1,0
14,DEN,Michael Porter Jr.,Missouri,6,345,10036,5597,2209,485,0.5,0.406,0.795,29.1,16.2,6.4,1.4,26.5,0.127,0.7,6.8,2018,0.7012195121951219,7.800000000000001,0.07142857142857142,0.049999999999999996,0.4919,0.5576923076923077,0.22010761259465922,0.04832602630530092,0.07681159420289856,1,1
15,WAS,Troy Brown Jr.,Oregon,6,356,6778,2196,1288,508,0.423,0.351,0.783,19.0,6.2,3.6,1.4,8.6,0.061,-1.8,0.4,2018,0.7235772357723578,5.0,0.06666666666666667,-0.12,0.4302,0.32398937739746236,0.19002655650634406,0.07494836234877544,0.024157303370786518,0,1
16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667,11.0,3.7,1.2,0.9,0.0,0.011,-6.1,-0.1,2018,0.07926829268292683,2.1,0.0625,-0.38125,0.3821,0.3356643356643357,0.1048951048951049,0.08391608391608392,0.0,0,0
17,MIL,Donte DiVincenzo,Villanova,7,416,10610,4469,1783,1199,0.427,0.38,0.772,25.5,10.7,4.3,2.9,23.9,0.108,1.1,8.3,2018,0.7247386759581882,7.199999999999999,0.058823529411764705,0.06470588235294118,0.44270000000000004,0.4212064090480679,0.16804901036757774,0.11300659754948163,0.057451923076923074,0,1
18,SAS,Lonnie Walker IV,Miami (FL),7,342,7025,3418,791,518,0.422,0.356,0.795,20.5,10.0,2.3,1.5,4.9,0.033,-2.5,-1.0,2018,0.5958188153310104,3.8,0.05555555555555555,-0.1388888888888889,0.4329,0.4865480427046263,0.11259786476868328,0.07373665480427047,0.01432748538011696,0,1
19,ATL,Kevin Huerter,Maryland,7,482,13566,5601,1638,1414,0.441,0.375,0.76,28.1,11.6,3.4,2.9,19.1,0.068,-1.0,3.6,2018,0.8397212543554007,6.3,0.05263157894736842,-0.05263157894736842,0.44650000000000006,0.4128704113224237,0.12074303405572756,0.1042311661506708,0.039626556016597515,0,1
20,MIN,Josh Okogie,Georgia Tech,7,416,7952,2641,1230,480,0.406,0.299,0.747,19.1,6.3,3.0,1.2,11.6,0.07,-1.8,0.4,2018,0.7247386759581882,4.2,0.05,-0.09000000000000001,0.3973,0.33211770623742454,0.15467806841046278,0.060362173038229376,0.027884615384615383,0,1
21,UTA,Grayson Allen,Duke,7,403,10227,4250,1216,812,0.451,0.414,0.857,25.4,10.5,3.0,2.0,22.6,0.106,0.0,5.1,2018,0.7020905923344948,5.0,0.047619047619047616,0.0,0.4768,0.4155666373325511,0.11890094846973696,0.07939767282683094,0.05607940446650125,0,1
22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,0.442,0.309,0.643,17.4,5.4,3.7,0.8,1.1,0.03,-3.9,-0.9,2018,0.31402439024390244,4.5,0.045454545454545456,-0.17727272727272728,0.40890000000000004,0.311731843575419,0.2100558659217877,0.044134078212290505,0.010679611650485438,0,0
23,IND,Aaron Holiday,UCLA,7,448,7366,2897,709,900,0.421,0.382,0.851,16.4,6.5,1.6,2.0,10.1,0.066,-1.9,0.1,2018,0.7804878048780488,3.6,0.043478260869565216,-0.08260869565217391,0.4484,0.3932935107249525,0.09625305457507467,0.12218300298669563,0.022544642857142857,0,1
25,LAL,Moritz Wagner,Michigan,7,363,6051,3328,1436,439,0.525,0.324,0.807,16.7,9.2,4.0,1.2,16.9,0.134,0.2,3.4,2018,0.632404181184669,5.2,0.04,0.008,0.4728,0.5499917369029912,0.2373161460915551,0.07254999173690299,0.0465564738292011,0,1
26,PHI,Landry Shamet,Wichita State,7,398,8389,3313,662,597,0.413,0.385,0.833,21.1,8.3,1.7,1.5,13.1,0.075,-2.0,0.0,2018,0.6933797909407665,3.2,0.038461538461538464,-0.07692307692307693,0.44380000000000003,0.3949219215639528,0.07891286208129694,0.07116462033615449,0.03291457286432161,0,1
27,BOS,Robert Williams,Texas A&M,7,235,4754,1691,1603,325,0.723,0.143,0.674,20.2,7.2,6.8,1.4,23.9,0.241,4.7,7.9,2018,0.4094076655052265,8.2,0.037037037037037035,0.17407407407407408,0.4861,0.3557004627681952,0.3371897349600337,0.06836348338241481,0.10170212765957447,0,1
28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8,2018,0.3597560975609756,2.0,0.03571428571428571,-0.2642857142857143,0.37779999999999997,0.27009646302250806,0.10610932475884244,0.08681672025723473,-0.010169491525423728,0,0
30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1.0,2.4,0.068,-1.5,0.2,2018,0.5792682926829268,5.3,0.03333333333333333,-0.05,0.4315,0.37965700768775873,0.244234180958013,0.05558840922531047,0.02526315789473684,0,0
1,NOP,Zion Williamson,Duke,5,214,6714,5279,1415,920,0.589,0.327,0.689,31.4,24.7,6.6,4.3,24.2,0.173,4.9,11.8,2019,0.5219512195121951,10.899999999999999,1.0,4.9,0.49420000000000003,0.7862675007447125,0.2107536490914507,0.13702710753649092,0.1130841121495327,1,1
2,MEM,Ja Morant,Murray State,6,307,9801,6942,1448,2267,0.469,0.316,0.766,31.9,22.6,4.7,7.4,24.1,0.118,2.7,11.8,2019,0.6239837398373984,12.100000000000001,0.5,1.35,0.4375,0.7082950719314356,0.14774002652790533,0.23130292827262525,0.07850162866449512,1,1
3,NYK,RJ Barrett,Duke,6,387,12814,7293,2150,1276,0.441,0.346,0.697,33.1,18.8,5.6,3.3,13.3,0.05,-1.7,0.9,2019,0.7865853658536586,8.899999999999999,0.3333333333333333,-0.5666666666666667,0.4286,0.5691431247073513,0.16778523489932887,0.0995785859216482,0.034366925064599485,1,1
4,LAL,De'Andre Hunter,Virginia,6,327,9820,4839,1336,497,0.452,0.373,0.819,30.0,14.8,4.1,1.5,12.1,0.059,-2.6,-1.5,2019,0.6646341463414634,5.6,0.25,-0.65,0.45709999999999995,0.4927698574338086,0.1360488798370672,0.05061099796334012,0.037003058103975535,1,1
5,CLE,Darius Garland,Vanderbilt,6,382,12693,7204,1015,2558,0.453,0.388,0.867,33.2,18.9,2.7,6.7,24.6,0.093,0.3,7.3,2019,0.7764227642276422,9.4,0.2,0.06,0.46840000000000004,0.5675569211376349,0.07996533522413929,0.20152840148113133,0.06439790575916231,1,1
6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,0.401,0.276,0.509,17.2,6.5,2.8,1.2,-0.1,-0.001,-4.5,-1.6,2019,0.43902439024390244,4.0,0.16666666666666666,-0.75,0.3618,0.37661290322580643,0.1620967741935484,0.06975806451612904,-0.0006944444444444445,1,0
7,CHI,Coby White,UNC,6,422,12566,6405,1539,1618,0.433,0.369,0.865,29.8,15.2,3.6,3.8,17.9,0.069,-1.5,1.5,2019,0.8577235772357723,7.4,0.14285714285714285,-0.21428571428571427,0.4506,0.5097087378640777,0.12247334076078306,0.12876014642686615,0.0424170616113744,1,1
8,ATL,Jaxson Hayes,Texas,6,367,6022,2494,1443,259,0.649,0.261,0.696,16.4,6.8,3.9,0.7,20.1,0.16,-0.4,2.5,2019,0.7459349593495935,4.6,0.125,-0.05,0.4985,0.4141481235469944,0.2396213882431086,0.043008967120557955,0.05476839237057221,1,1
9,WAS,Rui Hachimura,Gonzaga,6,337,9345,4318,1638,439,0.496,0.381,0.764,27.7,12.8,4.9,1.3,15.6,0.08,-1.9,0.2,2019,0.6849593495934959,6.2,0.1111111111111111,-0.21111111111111108,0.4768,0.46206527554842164,0.1752808988764045,0.04697699304440878,0.04629080118694362,1,1
10,ATL,Cam Reddish,Duke,6,254,5876,2151,678,297,0.398,0.322,0.821,23.1,8.5,2.7,1.2,3.3,0.027,-3.1,-1.7,2019,0.516260162601626,3.9000000000000004,0.1,-0.31000000000000005,0.4099,0.36606535057862494,0.11538461538461539,0.050544588155207626,0.012992125984251968,1,1
