Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,Long_Career
1,PHI,Ben Simmons,LSU,7,383,11910,5021,2840,2754,0.558,0.139,0.592,31.1,13.1,7.4,7.2,35.4,0.143,3.0,15.0,2016,0.6672473867595818,14.600000000000001,1.0,3.0,0.39380000000000004,0.4215785054575987,0.23845507976490343,0.23123425692695215,0.09242819843342036,1,1
2,LAL,Brandon Ingram,Duke,9,495,16316,9656,2566,2130,0.468,0.363,0.788,33.0,19.5,5.2,4.3,27.3,0.08,0.1,8.6,2016,0.6707317073170732,9.5,0.5,0.05,0.45799999999999996,0.5918117185584703,0.15726893846531012,0.13054670262319196,0.05515151515151515,1,1
3,BOS,Jaylen Brown,California,9,603,18465,11436,3208,1589,0.478,0.359,0.726,30.6,19.0,5.3,2.6,40.5,0.105,0.3,10.8,2016,0.8170731707317073,7.9,0.3333333333333333,0.09999999999999999,0.4552,0.6193338748984566,0.17373409152450583,0.08605469807744381,0.06716417910447761,1,1
5,MIN,Kris Dunn,Providence,9,407,9497,3116,1355,1617,0.437,0.327,0.736,23.3,7.7,3.3,4.0,11.8,0.059,-1.1,2.2,2016,0.551490514905149,7.3,0.2,-0.22000000000000003,0.4229,0.32810361166684215,0.14267663472675582,0.17026429398757503,0.028992628992628996,1,1
6,NOP,Buddy Hield,Oklahoma,9,714,20180,10732,2936,1775,0.433,0.397,0.858,28.3,15.0,4.1,2.5,27.7,0.066,0.3,11.5,2016,0.967479674796748,6.6,0.16666666666666666,0.049999999999999996,0.4611,0.5318136769078295,0.14549058473736373,0.0879583746283449,0.038795518207282914,1,1
7,DEN,Jamal Murray,Kentucky,8,536,16796,9623,2018,2509,0.455,0.381,0.87,31.3,18.0,3.8,4.7,38.1,0.109,0.9,12.4,2016,0.8170731707317073,8.5,0.14285714285714285,0.12857142857142856,0.46690000000000004,0.57293403191236,0.12014765420338176,0.14938080495356038,0.07108208955223881,1,1
8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,0.456,0.29,0.667,18.3,7.6,4.7,1.0,6.5,0.058,-2.4,-0.5,2016,0.5934959349593496,5.7,0.125,-0.3,0.41069999999999995,0.41326339452978644,0.2559010865492694,0.05582615211689772,0.02226027397260274,1,1
9,TOR,Jakob Poeltl,Utah,9,595,13320,5311,4153,1083,0.631,0.429,0.555,22.4,8.9,7.0,1.8,44.2,0.159,1.2,10.9,2016,0.8062330623306233,8.8,0.1111111111111111,0.13333333333333333,0.5426,0.3987237237237237,0.3117867867867868,0.08130630630630631,0.07428571428571429,1,1
11,ORL,Domantas Sabonis,Gonzaga,9,646,19899,10401,6880,3162,0.56,0.347,0.729,30.8,16.1,10.7,4.9,69.9,0.169,3.4,27.2,2016,0.8753387533875339,15.6,0.09090909090909091,0.3090909090909091,0.4917000000000001,0.5226895823910749,0.3457460173878084,0.1589024574099201,0.10820433436532509,1,1
12,UTA,Taurean Prince,Baylor,9,582,14402,5745,2091,1005,0.428,0.384,0.811,24.7,9.9,3.6,1.7,15.0,0.05,-2.0,-0.1,2016,0.7886178861788617,5.3,0.08333333333333333,-0.16666666666666666,0.44870000000000004,0.39890293014859046,0.14518816830995696,0.06978197472573254,0.02577319587628866,1,1
14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787,18.8,7.0,3.3,1.8,4.5,0.044,-1.9,0.2,2016,0.624390243902439,5.1,0.07142857142857142,-0.1357142857142857,0.41969999999999996,0.37263857172514014,0.17791156321361842,0.09674070998546813,0.017578125,1,1
17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5,2016,0.22764227642276422,2.5999999999999996,0.058823529411764705,-0.31176470588235294,0.35509999999999997,0.3005181347150259,0.11917098445595854,0.13471502590673576,-0.005357142857142857,0,0
18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,0.371,0.336,0.773,9.5,4.1,2.5,0.6,0.4,0.023,-3.7,-0.3,2016,0.20243902439024392,3.1,0.05555555555555555,-0.20555555555555555,0.3972,0.43456162642947904,0.2617534942820839,0.062261753494282084,0.004819277108433735,0,1
