Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
24,POR,Keith Herron,Villanova,3.0,124.0,2620.0,1219.0,242.0,174.0,0.438,,0.858,21.1,9.8,2.0,1.4,3.2,0.058,-1.8,0.1,1978
25,ATL,Rick Wilson,Louisville,2.0,66.0,648.0,194.0,79.0,83.0,0.393,,0.56,9.8,2.9,1.2,1.3,0.2,0.013,-1.9,0.0,1978
26,LAL,Ron Carter,Virginia Military Institute,2.0,59.0,449.0,176.0,64.0,34.0,0.429,,0.623,7.6,3.0,1.1,0.6,-0.2,-0.017,-5.1,-0.4,1978
27,IND,Wayne Radford,Indiana,1.0,52.0,649.0,202.0,68.0,57.0,0.474,,0.8,12.5,3.9,1.3,1.1,0.7,0.049,-2.2,0.0,1978
28,HOU,Buster Matheney,Utah,,,,,,,,,,,,,,,,,,1978
29,DET,John Long,Detroit Mercy,14.0,893.0,22680.0,12131.0,2492.0,1738.0,0.467,,0.862,25.4,13.6,2.8,1.9,32.0,0.068,-1.3,3.7,1978
30,BOS,Jeff Judkins,Utah,5.0,272.0,3421.0,1482.0,427.0,282.0,0.478,,0.812,12.6,5.4,1.6,1.0,6.3,0.088,-1.1,0.8,1978
31,CHI,Marvin Johnson,New Mexico,,,,,,,,,,,,,,,,,,1978
32,NYK,John Rudd,McNeese State University,1.0,58.0,723.0,184.0,167.0,35.0,0.444,,0.71,12.5,3.2,2.9,0.6,0.6,0.04,-3.8,-0.3,1978
33,CLE,Harry Davis,Florida State,2.0,44.0,424.0,175.0,72.0,16.0,0.436,,0.689,9.6,4.0,1.6,0.4,0.3,0.033,-4.0,-0.3,1978
34,NYK,Greg Bunch,Cal State Fullerton,1.0,12.0,97.0,28.0,17.0,4.0,0.346,,0.833,8.1,2.3,1.4,0.3,0.1,0.046,-3.3,0.0,1978
35,NOJ,Tommie Green,Southern University and A&M College,1.0,59.0,809.0,232.0,68.0,140.0,0.388,,0.762,13.7,3.9,1.2,2.4,-0.3,-0.017,-4.2,-0.5,1978
36,PHI,Maurice Cheeks,West Texas A&M University,15.0,1101.0,34845.0,12195.0,3088.0,7392.0,0.523,,0.793,31.6,11.1,2.8,6.7,103.5,0.143,2.8,42.1,1978
37,WSB,Terry Sykes,Grambling State University,,,,,,,,,,,,,,,,,,1978
38,LAL,Lew Massey,UNC Charlotte,,,,,,,,,,,,,,,,,,1978
39,SEA,James Lee,Kentucky,,,,,,,,,,,,,,,,,,1978
40,GSW,Wayne Cooper,New Orleans,14.0,984.0,20274.0,7777.0,6095.0,852.0,0.457,,0.736,20.6,7.9,6.2,0.9,36.9,0.087,-2.3,-1.4,1978
41,SDC,Jerome Whitehead,Marquette,11.0,679.0,11828.0,4423.0,3268.0,374.0,0.497,,0.718,17.4,6.5,4.8,0.6,16.4,0.067,-3.7,-5.1,1978
42,SEA,Keven McDonald,Penn,,,,,,,,,,,,,,,,,,1978
43,PHI,Glenn Hagan,St. Bonaventure,1.0,4.0,25.0,7.0,4.0,8.0,0.429,,1.0,6.3,1.8,1.0,2.0,0.1,0.201,-2.7,0.0,1978
44,POR,Clemon Johnson,Florida A&M,10.0,761.0,13310.0,4102.0,3508.0,744.0,0.492,,0.621,17.5,5.4,4.6,1.0,25.5,0.092,-0.8,4.1,1978
45,NJN,Mike Phillips,Kentucky,,,,,,,,,,,,,,,,,,1978
46,DEN,Hollis Copeland,Rutgers University,2.0,93.0,1260.0,464.0,161.0,89.0,0.488,0.0,0.739,13.5,5.0,1.7,1.0,1.3,0.05,-2.0,0.0,1978
47,HOU,Billy Ray Bates,Kentucky State University,4.0,187.0,3328.0,2197.0,313.0,352.0,0.474,0.303,0.796,17.8,11.7,1.7,1.9,6.9,0.099,0.5,2.1,1978
48,SDC,Mike Santos,Utah State University,,,,,,,,,,,,,,,,,,1978
49,KCK,Jeff Cook,Idaho State University,8.0,518.0,9697.0,2734.0,2334.0,707.0,0.462,0.056,0.716,18.7,5.3,4.5,1.4,17.7,0.088,-1.4,1.6,1978
50,BOS,Dana Skinner,Merrimack College,,,,,,,,,,,,,,,,,,1978
51,SDC,Ricky Gallon,Louisville,,,,,,,,,,,,,,,,,,1978
52,KCK,Mike Russell,Texas Tech,,,,,,,,,,,,,,,,,,1978
53,CHI,Randy Ayers,Miami University,,,,,,,,,,,,,,,,,,1978
54,ATL,Steve Grant,Manhattan University,,,,,,,,,,,,,,,,,,1978
