Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,First_Round_Pick,Long_Career
18,ATL,Don Collins,Washington State,6.0,303.0,6134.0,2983.0,837.0,546.0,0.485,0.069,0.749,20.2,9.8,2.8,1.8,10.5,0.082,0.2,3.5,1980,0.6158536585365854,4.6,0.05555555555555555,0.011111111111111112,0.34500000000000003,0.4863058363221389,0.1364525595044017,0.08901206390609716,0.034653465346534656,0,1,1
19,UTA,John Duren,Georgetown,3.0,201.0,2947.0,712.0,226.0,411.0,0.435,0.12,0.75,14.7,3.5,1.1,2.0,-0.8,-0.014,-5.4,-2.5,1980,0.8170731707317073,3.1,0.05263157894736842,-0.28421052631578947,0.3405,0.24160162877502545,0.07668815744825246,0.13946386155412283,-0.003980099502487563,0,1,0
20,SEA,Bill Hanzlik,Notre Dame,10.0,748.0,15534.0,5414.0,2058.0,2058.0,0.434,0.213,0.781,20.8,7.2,2.8,2.8,24.7,0.076,-1.4,2.2,1980,0.9121951219512195,5.6,0.05,-0.06999999999999999,0.3803,0.34852581434273205,0.1324835843955195,0.1324835843955195,0.03302139037433155,0,1,1
23,DEN,Carl Nicks,Indiana State University,3.0,156.0,2579.0,1067.0,297.0,249.0,0.462,0.0,0.57,16.5,6.8,1.9,1.6,-0.4,-0.007,-4.5,-1.6,1980,0.6341463414634146,3.5,0.043478260869565216,-0.19565217391304346,0.28800000000000003,0.413726250484684,0.11516091508336565,0.09654905001938736,-0.002564102564102564,0,1,0
24,GSW,Larry Smith,Alcorn State,13.0,883.0,22879.0,5904.0,8125.0,941.0,0.531,0.0,0.531,25.9,6.7,9.2,1.1,46.0,0.096,-1.6,2.4,1980,0.8283302063789869,10.299999999999999,0.041666666666666664,-0.06666666666666667,0.3186,0.2580532365925084,0.3551291577429083,0.04112941999213252,0.052095130237825596,0,1,1
25,GSW,Jeff Ruland,Iona College,8.0,332.0,11088.0,5763.0,3378.0,1002.0,0.564,0.158,0.718,33.4,17.4,10.2,3.0,34.3,0.149,2.1,11.5,1980,0.5060975609756098,13.2,0.04,0.084,0.4169999999999999,0.5197510822510822,0.3046536796536797,0.09036796536796536,0.10331325301204819,0,1,1
26,CHI,Sam Worthen,Marquette,2.0,69.0,967.0,239.0,116.0,118.0,0.492,0.0,0.75,14.0,3.5,1.7,1.7,0.7,0.032,-2.0,0.0,1980,0.42073170731707316,3.4,0.038461538461538464,-0.07692307692307693,0.321,0.24715615305067218,0.11995863495346432,0.12202688728024819,0.010144927536231883,0,1,0
28,ATL,Craig Shelton,Georgetown,2.0,59.0,607.0,240.0,141.0,27.0,0.453,0.0,0.6,10.3,4.1,2.4,0.5,0.0,-0.001,-6.4,-0.7,1980,0.3597560975609756,2.9,0.03571428571428571,-0.22857142857142856,0.2865,0.3953871499176277,0.23228995057660626,0.044481054365733116,0.0,0,1,0
29,IND,Louis Orr,Syracuse,8.0,569.0,13353.0,5545.0,2117.0,853.0,0.468,0.083,0.787,23.5,9.7,3.7,1.5,25.7,0.093,-0.4,5.5,1980,0.8673780487804879,5.2,0.034482758620689655,-0.013793103448275862,0.3459,0.4152624878304501,0.15854115180109338,0.06388077585561297,0.04516695957820738,0,1,1
30,IND,Kenny Natt,Louisiana-Monroe,3.0,49.0,388.0,150.0,40.0,41.0,0.417,0.2,0.621,7.9,3.1,0.8,0.8,-0.2,-0.026,-5.6,-0.5,1980,0.1991869918699187,1.6,0.03333333333333333,-0.18666666666666665,0.35059999999999997,0.3865979381443299,0.10309278350515463,0.1056701030927835,-0.004081632653061225,0,1,0
1,DAL,Mark Aguirre,DePaul,13.0,923.0,27730.0,18458.0,4578.0,2871.0,0.484,0.312,0.741,30.0,20.0,5.0,3.1,67.8,0.117,1.5,24.4,1981,0.8658536585365854,8.1,1.0,1.5,0.4409,0.6656328885683376,0.16509195816804906,0.10353407861521817,0.07345612134344529,1,1,1
2,DET,Isiah Thomas,Indiana,13.0,979.0,35516.0,18822.0,3478.0,9061.0,0.452,0.29,0.759,36.3,19.2,3.6,9.3,80.7,0.109,2.6,41.6,1981,0.9183864915572233,12.9,0.5,1.3,0.4179,0.5299583286406127,0.09792769456019822,0.25512445095168373,0.08243105209397344,1,1,1
3,NJN,Buck Williams,Maryland,17.0,1307.0,42464.0,16784.0,13017.0,1646.0,0.549,0.167,0.664,32.5,12.8,10.0,1.3,120.1,0.136,0.0,21.7,1981,0.9375896700143472,11.3,0.3333333333333333,0.0,0.40770000000000006,0.3952524491333836,0.30654201205727205,0.03876224566691786,0.09188982402448355,1,1,1
4,ATL,Al Wood,UNC,6.0,417.0,9939.0,4902.0,1262.0,742.0,0.465,0.211,0.789,23.8,11.8,3.0,1.8,15.4,0.074,-1.3,1.8,1981,0.8475609756097561,4.8,0.25,-0.325,0.39580000000000004,0.4932085722909749,0.12697454472280914,0.07465539792735687,0.036930455635491605,1,1,1
5,SEA,Danny Vranes,Utah,7.0,510.0,10624.0,2613.0,1998.0,594.0,0.496,0.105,0.57,20.8,5.1,3.9,1.2,15.3,0.069,-1.7,0.8,1981,0.8885017421602788,5.1,0.2,-0.34,0.347,0.24595256024096385,0.18806475903614459,0.055911144578313254,0.030000000000000002,1,1,1
6,CHI,Orlando Woolridge,Notre Dame,13.0,851.0,24041.0,13623.0,3696.0,1609.0,0.513,0.091,0.737,28.3,16.0,4.3,1.9,53.0,0.106,0.1,12.8,1981,0.798311444652908,6.199999999999999,0.16666666666666666,0.016666666666666666,0.3666,0.5666569610249158,0.1537373653342207,0.06692733247369077,0.06227967097532315,1,1,1
7,KCK,Steve Johnson,Oregon State,10.0,626.0,13618.0,7345.0,3450.0,777.0,0.572,0.0,0.634,21.8,11.7,5.5,1.2,26.9,0.095,-1.7,1.1,1981,0.7634146341463415,6.7,0.14285714285714285,-0.24285714285714283,0.3494,0.5393596710236451,0.2533411661036863,0.057056836539873694,0.042971246006389775,1,1,1
8,SDC,Tom Chambers,Utah,16.0,1107.0,33922.0,20049.0,6703.0,2283.0,0.468,0.307,0.807,30.6,18.1,6.1,2.1,79.0,0.112,-0.6,12.0,1981,0.84375,8.2,0.125,-0.075,0.4375,0.5910323683745062,0.19760037733624197,0.06730145628205884,0.07136404697380307,1,1,1
