Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Draft_Year,Year_Number
1983.0,Bryan Warrick,43.0,727.0,6.5,0.439,0.029,0.333,2.3,8.3,5.3,23.3,1.4,0.6,26.6,15.2,-0.9,1.0,0.1,0.008,-5.3,0.2,-5.1,-0.6,65.0,171.0,0.38,0.0,5.0,0.0,65.0,166.0,0.392,0.38,42.0,57.0,0.737,15.0,54.0,69.0,126.0,21.0,8.0,71.0,103.0,172.0,1982,1
1983.0,Dominique Wilkins*,82.0,2697.0,16.6,0.524,0.009,0.276,8.9,9.9,9.4,7.7,1.5,1.3,11.6,23.9,2.9,2.9,5.8,0.103,1.0,-0.3,0.7,1.8,601.0,1220.0,0.493,2.0,11.0,0.182,599.0,1209.0,0.495,0.493,230.0,337.0,0.682,226.0,252.0,478.0,129.0,84.0,63.0,180.0,210.0,1434.0,1982,1
1983.0,Rob Williams,74.0,1443.0,10.7,0.473,0.032,0.372,2.6,7.0,4.8,28.8,2.6,0.4,25.4,18.7,-0.8,0.7,-0.1,-0.004,-2.6,-2.0,-4.6,-0.9,191.0,468.0,0.408,2.0,15.0,0.133,189.0,453.0,0.417,0.41,131.0,174.0,0.753,37.0,99.0,136.0,361.0,89.0,12.0,185.0,221.0,515.0,1982,1
1983.0,James Worthy*,77.0,1970.0,17.4,0.594,0.005,0.286,9.2,13.0,11.2,8.6,2.1,1.7,17.0,21.0,3.0,2.1,5.1,0.125,1.4,0.0,1.5,1.7,447.0,772.0,0.579,1.0,4.0,0.25,446.0,768.0,0.581,0.58,138.0,221.0,0.624,157.0,242.0,399.0,132.0,91.0,64.0,178.0,221.0,1033.0,1982,1
1984.0,John Bagley,76.0,1712.0,12.8,0.485,0.028,0.326,3.1,7.4,5.2,27.9,2.2,0.1,19.7,21.0,-0.4,1.3,0.9,0.025,-1.7,-1.1,-2.8,-0.3,257.0,607.0,0.423,2.0,17.0,0.118,255.0,590.0,0.432,0.425,157.0,198.0,0.793,49.0,107.0,156.0,333.0,78.0,4.0,170.0,113.0,673.0,1982,2
1984.0,Lester Conner,82.0,2573.0,15.1,0.537,0.008,0.355,5.2,7.9,6.5,20.9,2.9,0.3,14.5,14.9,3.6,2.3,5.9,0.11,0.9,0.7,1.6,2.3,360.0,730.0,0.493,1.0,6.0,0.167,359.0,724.0,0.496,0.494,186.0,259.0,0.718,132.0,173.0,305.0,401.0,162.0,12.0,143.0,176.0,907.0,1982,2
1984.0,Terry Cummings,81.0,2907.0,19.8,0.538,0.002,0.354,12.6,17.6,15.1,7.2,1.5,1.1,11.2,26.6,5.7,1.8,7.5,0.123,2.3,-1.3,0.9,2.2,737.0,1491.0,0.494,0.0,3.0,0.0,737.0,1488.0,0.495,0.494,380.0,528.0,0.72,323.0,454.0,777.0,139.0,92.0,57.0,218.0,298.0,1854.0,1982,2
1984.0,Quintin Dailey,82.0,2449.0,15.8,0.531,0.026,0.322,2.8,8.3,5.5,17.6,2.1,0.3,13.6,27.4,1.5,2.2,3.7,0.072,0.2,-1.2,-1.0,0.6,583.0,1229.0,0.474,4.0,32.0,0.125,579.0,1197.0,0.484,0.476,321.0,396.0,0.811,61.0,174.0,235.0,254.0,109.0,11.0,220.0,218.0,1491.0,1982,2
1984.0,Keith Edmonson,55.0,622.0,15.5,0.545,0.0,0.393,8.0,7.1,7.5,7.5,1.9,0.6,13.9,27.1,0.5,0.2,0.7,0.058,-0.6,-3.1,-3.7,-0.3,158.0,321.0,0.492,0.0,0.0,,158.0,321.0,0.492,0.492,94.0,126.0,0.746,46.0,42.0,88.0,34.0,26.0,7.0,61.0,83.0,410.0,1982,2
1984.0,Keith Edmonson,40.0,521.0,16.2,0.543,0.0,0.369,8.3,6.0,7.2,7.2,1.9,0.6,12.4,27.0,0.6,0.2,0.8,0.073,0.1,-3.1,-3.0,-0.1,135.0,274.0,0.493,0.0,0.0,,135.0,274.0,0.493,0.493,76.0,101.0,0.752,40.0,30.0,70.0,27.0,22.0,6.0,45.0,67.0,346.0,1982,2
1984.0,Keith Edmonson,15.0,101.0,12.2,0.552,0.0,0.532,6.1,12.8,9.4,9.1,1.7,0.5,21.6,27.6,-0.1,0.0,0.0,-0.019,-4.0,-3.4,-7.3,-0.1,23.0,47.0,0.489,0.0,0.0,,23.0,47.0,0.489,0.489,18.0,25.0,0.72,6.0,12.0,18.0,7.0,4.0,1.0,16.0,16.0,64.0,1982,2
1984.0,Sleepy Floyd,77.0,2555.0,14.6,0.531,0.043,0.369,3.5,8.4,5.8,15.1,1.9,0.7,13.9,21.5,2.7,1.8,4.4,0.084,0.1,-0.8,-0.8,0.8,484.0,1045.0,0.463,8.0,45.0,0.178,476.0,1000.0,0.476,0.467,315.0,386.0,0.816,87.0,184.0,271.0,269.0,103.0,31.0,196.0,216.0,1291.0,1982,2
1984.0,Bill Garnett,80.0,1529.0,12.3,0.546,0.007,0.589,9.3,15.8,12.6,10.3,1.4,2.4,15.3,12.1,1.9,1.5,3.5,0.109,-0.7,1.6,1.0,1.1,141.0,299.0,0.472,0.0,2.0,0.0,141.0,297.0,0.475,0.472,129.0,176.0,0.733,123.0,208.0,331.0,128.0,44.0,66.0,68.0,217.0,411.0,1982,2
1984.0,Scott Hastings,68.0,1135.0,10.3,0.539,0.017,0.439,9.5,17.8,13.6,5.7,1.8,1.9,18.9,13.3,0.5,1.6,2.1,0.09,-2.1,1.8,-0.4,0.5,111.0,237.0,0.468,1.0,4.0,0.25,110.0,233.0,0.472,0.47,82.0,104.0,0.788,96.0,174.0,270.0,46.0,40.0,36.0,66.0,220.0,305.0,1982,2
1984.0,Clark Kellogg,79.0,2676.0,19.1,0.561,0.018,0.285,9.5,20.1,14.8,13.7,2.1,0.6,14.0,24.1,3.2,3.8,7.0,0.125,1.5,1.0,2.5,3.0,619.0,1193.0,0.519,7.0,21.0,0.333,612.0,1172.0,0.522,0.522,261.0,340.0,0.768,230.0,489.0,719.0,234.0,121.0,28.0,218.0,242.0,1506.0,1982,2
1984.0,Fat Lever,81.0,2010.0,15.8,0.495,0.021,0.305,5.5,7.4,6.4,24.3,3.2,0.9,13.6,18.4,2.5,2.2,4.8,0.114,0.9,0.5,1.5,1.8,313.0,701.0,0.447,3.0,15.0,0.2,310.0,686.0,0.452,0.449,159.0,214.0,0.743,96.0,122.0,218.0,372.0,135.0,31.0,125.0,178.0,788.0,1982,2
1984.0,Cliff Levingston,80.0,1746.0,14.8,0.563,0.007,0.427,13.7,19.7,16.6,7.6,1.2,2.5,12.9,13.1,3.2,2.1,5.3,0.144,0.9,1.7,2.5,2.0,229.0,436.0,0.525,0.0,3.0,0.0,229.0,433.0,0.529,0.525,125.0,186.0,0.672,234.0,311.0,545.0,109.0,44.0,78.0,77.0,281.0,583.0,1982,2
1984.0,Ricky Pierce,69.0,1280.0,13.2,0.53,0.016,0.304,5.2,6.7,6.0,6.6,1.0,0.6,11.1,22.6,1.7,0.1,1.8,0.067,-0.6,-3.0,-3.7,-0.5,268.0,570.0,0.47,0.0,9.0,0.0,268.0,561.0,0.478,0.47,149.0,173.0,0.861,59.0,76.0,135.0,60.0,27.0,13.0,81.0,143.0,685.0,1982,2
1984.0,Paul Pressey,81.0,1730.0,14.5,0.547,0.017,0.379,7.0,11.4,9.3,20.7,2.5,1.7,20.3,18.9,0.9,2.9,3.8,0.106,-0.2,2.1,1.9,1.7,276.0,528.0,0.523,2.0,9.0,0.222,274.0,519.0,0.528,0.525,120.0,200.0,0.6,102.0,180.0,282.0,252.0,86.0,50.0,157.0,241.0,674.0,1982,2
