Unnamed: 0_level_0,Unnamed: 1_level_0,Player,Round 1,Round 1,Unnamed: 5_level_0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,Draft_Year
48,48,SDC,Craig Hodges,Cal State Long Beach,10,695,15077,5940,937,1769,.461,.400,.828,21.7,8.5,1.3,2.5,27.2,.087,-0.9,4.0,1982
49,49,UTA,Steve Trumbo,BYU,,,,,,,,,,,,,,,,,,1982
50,50,DAL,Corny Thompson,UConn,1,44,520,122,120,34,.314,,.783,11.8,2.8,2.7,0.8,-0.1,-.010,-5.9,-0.5,1982
51,51,KCK,Jim Johnstone,Wake Forest,1,23,191,31,46,11,.367,,.450,8.3,1.3,2.0,0.5,-0.1,-.020,-4.4,-0.2,1982
52,52,NYK,Dan Caldwell,Washington,,,,,,,,,,,,,,,,,,1982
53,53,CHI,Tyrone Adams,Kansas State,,,,,,,,,,,,,,,,,,1982
54,54,LAL,Hutch Jones,Vanderbilt,2,13,103,41,17,4,.425,,.700,7.9,3.2,1.3,0.3,0.0,-.003,-4.0,-0.1,1982
55,55,UTA,Jerry Eaves,Louisville,4,168,2685,1132,208,414,.472,.071,.773,16.0,6.7,1.2,2.5,2.6,.046,-3.2,-0.8,1982
56,56,ATL,Joe Kopicki,Detroit Mercy,3,118,1187,432,314,84,.493,.273,.812,10.1,3.7,2.7,0.7,3.5,.142,-0.4,0.5,1982
57,57,NYK,Craig Tucker,Illinois,,,,,,,,,,,,,,,,,,1982
58,58,WSB,Mike Largey,Upsala College,,,,,,,,,,,,,,,,,,1982
59,59,NJN,Jimmy Black,UNC,,,,,,,,,,,,,,,,,,1982
60,60,GSW,Chris Engler,Wyoming,5,195,1405,343,386,45,.411,,.677,7.2,1.8,2.0,0.2,0.6,.020,-5.7,-1.4,1982
61,61,PHO,Charles Pittman,Maryland,4,234,3292,1060,718,204,.546,.000,.711,14.1,4.5,3.1,0.9,4.2,.062,-2.8,-0.7,1982
62,62,DEN,Roylin Bond,Pepperdine,,,,,,,,,,,,,,,,,,1982
63,63,HOU,Chuck Nevitt,NC State,9,155,826,251,239,19,.438,,.589,5.3,1.6,1.5,0.1,0.5,.031,-4.8,-0.6,1982
64,64,SAS,Willie Redden,South Florida,,,,,,,,,,,,,,,,,,1982
65,65,SEA,John Greig,Oregon,1,9,26,19,6,0,.538,,.833,2.9,2.1,0.7,0.0,0.1,.182,-3.8,0.0,1982
66,66,POR,Phillip Lockett,Alabama,,,,,,,,,,,,,,,,,,1982
