Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
1,LAL,James Worthy,UNC,12,926,30001,16320,4708,2791,0.521,0.241,0.769,32.4,17.6,5.1,3,81.2,0.13,1.9,29.2,1982
2,SDC,Terry Cummings,DePaul,18,1183,33898,19460,8630,2190,0.484,0.295,0.706,28.7,16.4,7.3,1.9,91.1,0.129,0.6,22.5,1982
3,UTA,Dominique Wilkins,Georgia,15,1074,38113,26668,7169,2677,0.461,0.319,0.811,35.5,24.8,6.7,2.5,117.5,0.148,3.3,50.6,1982
4,DAL,Bill Garnett,Wyoming,4,300,5260,1638,1298,393,0.49,0,0.72,17.5,5.5,4.3,1.3,10.8,0.099,-0.8,1.6,1982
5,KCK,LaSalle Thompson,Texas,15,985,21238,7806,6689,1139,0.492,0.154,0.737,21.6,7.9,6.8,1.2,35,0.079,-1.5,2.7,1982
6,NYK,Trent Tucker,Minnesota,11,756,15671,6236,1520,1532,0.461,0.408,0.754,20.7,8.2,2,2,34.3,0.105,0.6,10.2,1982
7,CHI,Quintin Dailey,San Francisco,10,528,12170,7470,1307,1188,0.454,0.158,0.779,23,14.1,2.5,2.3,12.7,0.05,-1.9,0.3,1982
8,IND,Clark Kellogg,Ohio State,5,260,8514,4918,2482,764,0.497,0.338,0.757,32.7,18.9,9.5,2.9,20.9,0.118,1.4,7.3,1982
9,DET,Cliff Levingston,Wichita State,11,830,16962,5888,4307,752,0.516,0.152,0.676,20.4,7.1,5.2,0.9,44.2,0.125,-0.2,7.6,1982
10,ATL,Keith Edmonson,Purdue,2,87,931,522,127,56,0.448,0,0.719,10.7,6,1.5,0.6,0.4,0.022,-3.6,-0.4,1982
11,POR,Fat Lever,Arizona State,11,752,23814,10433,4523,4696,0.447,0.31,0.771,31.7,13.9,6,6.2,61.2,0.123,3.3,32.1,1982
12,CLE,John Bagley,Boston College,11,665,17120,5802,1729,3980,0.437,0.241,0.779,25.7,8.7,2.6,6,16.6,0.047,-0.9,4.5,1982
13,NJN,Sleepy Floyd,Georgetown,13,957,26383,12260,2494,5175,0.444,0.324,0.815,27.6,12.8,2.6,5.4,50.6,0.092,0.5,16.6,1982
14,GSW,Lester Conner,Oregon State,12,687,14970,4337,1861,2669,0.453,0.202,0.753,21.8,6.3,2.7,3.9,28.6,0.092,1,11.3,1982
15,PHO,David Thirdkill,Bradley,5,179,1469,510,209,84,0.457,0.091,0.565,8.2,2.8,1.2,0.5,1.3,0.042,-4.9,-1.1,1982
16,HOU,Terry Teagle,Baylor,11,687,14509,7982,1803,956,0.465,0.21,0.792,21.1,11.6,2.6,1.4,13.4,0.044,-2.9,-3.2,1982
17,KCK,Brook Steppe,Georgia Tech,5,238,2858,1297,345,280,0.469,0.31,0.82,12,5.4,1.4,1.2,4.6,0.078,-1.8,0.2,1982
18,DET,Ricky Pierce,Rice University,16,969,23665,14467,2296,1826,0.493,0.322,0.875,24.4,14.9,2.4,1.9,72.2,0.146,1.1,18.6,1982
19,DEN,Rob Williams,Houston,2,153,3367,1319,330,825,0.439,0.274,0.789,22,8.6,2.2,5.4,2.1,0.03,-3.1,-0.9,1982
20,MIL,Paul Pressey,Tulsa,11,724,19659,7664,2798,3715,0.485,0.222,0.749,27.2,10.6,3.9,5.1,49,0.12,2.6,22.8,1982
21,NJN,Eddie Phillips,Alabama,1,48,416,152,77,29,0.406,0,0.678,8.7,3.2,1.6,0.6,0.1,0.011,-4.7,-0.3,1982
23,BOS,Darren Tillis,Cleveland State University,2,124,1256,425,314,42,0.423,0,0.626,10.1,3.4,2.5,0.3,0.9,0.036,-4.4,-0.8,1982
24,SAS,Oliver Robinson,UAB,1,35,147,101,17,21,0.361,0.091,0.667,4.2,2.9,0.5,0.6,0.1,0.018,-5,-0.1,1982
25,WSB,Bryan Warrick,Saint Joseph's,4,169,2379,677,218,437,0.443,0.208,0.747,14.1,4,1.3,2.6,1.6,0.033,-3.3,-0.8,1982
27,MIL,Fred Roberts,BYU,13,818,14703,5962,2308,977,0.502,0.325,0.796,18,7.3,2.8,1.2,26.2,0.086,-1.6,1.5,1982
28,CLE,Dave Magley,Kansas,1,14,56,12,10,2,0.25,0,0.5,4,0.9,0.7,0.1,-0.1,-0.066,-5,-0.1,1982
29,NYK,Scott Hastings,Arkansas,11,578,5985,1647,1287,284,0.441,0.292,0.811,10.4,2.8,2.2,0.5,9.8,0.079,-2.8,-1.2,1982
1,HOU,Ralph Sampson,Virginia,9,456,13591,7039,4011,1038,0.486,0.172,0.661,29.8,15.4,8.8,2.3,20.1,0.071,-0.6,5,1983
2,IND,Steve Stipanovich,Missouri,5,403,12591,5323,3131,938,0.484,0.179,0.796,31.2,13.2,7.8,2.3,30.4,0.116,0.6,8.4,1983
3,HOU,Rodney McCray,Louisville,10,768,24876,9014,5087,2750,0.503,0.26,0.761,32.4,11.7,6.6,3.6,56,0.108,1,19.1,1983
4,SDC,Byron Scott,Arizona State,14,1073,30152,15097,2987,2729,0.482,0.37,0.833,28.1,14.1,2.8,2.5,75.2,0.12,0.8,21,1983
5,CHI,Sidney Green,UNLV,10,679,13247,5080,4128,635,0.454,0.037,0.738,19.5,7.5,6.1,0.9,17.4,0.063,-3.2,-3.9,1983
7,UTA,Thurl Bailey,NC State,12,928,24873,11834,4718,1298,0.473,0.114,0.812,26.8,12.8,5.1,1.4,45,0.087,-0.9,6.9,1983
8,DET,Antoine Carr,Wichita State,16,987,19780,9176,3384,1086,0.503,0.13,0.78,20,9.3,3.4,1.1,42.1,0.102,-1.2,4.1,1983
9,DAL,Dale Ellis,Tennessee,17,1209,34778,19004,4201,1746,0.479,0.403,0.784,28.8,15.7,3.5,1.4,84.7,0.117,0.6,22.9,1983
10,WSB,Jeff Malone,Mississippi State,13,905,29660,17231,2364,2154,0.484,0.268,0.871,32.8,19,2.6,2.4,54.2,0.088,-1.5,4,1983
11,DAL,Derek Harper,Illinois,16,1199,37786,16006,2884,6577,0.463,0.354,0.745,31.5,13.3,2.4,5.5,86.8,0.11,1.8,35.7,1983
12,NYK,Darrell Walker,Arkansas,10,720,18601,6389,3134,3276,0.435,0.059,0.713,25.8,8.9,4.4,4.6,27.4,0.071,0.8,13,1983
13,KCK,Ennis Whatley,Alabama,10,385,7108,2150,679,1754,0.468,0.097,0.755,18.5,5.6,1.8,4.6,9.6,0.065,-0.9,2,1983
14,POR,Clyde Drexler,Houston,15,1086,37537,22195,6677,6125,0.472,0.318,0.788,34.6,20.4,6.1,5.6,135.6,0.173,5.4,70.2,1983
15,DEN,Howard Carter,LSU,2,66,754,351,89,75,0.44,0.227,0.774,11.4,5.3,1.3,1.1,0,-0.002,-5,-0.6,1983
16,SEA,Jon Sundvold,Missouri,9,502,8811,3886,554,1469,0.452,0.392,0.849,17.6,7.7,1.1,2.9,8.9,0.048,-2.4,-0.9,1983
18,MIL,Randy Breuer,Minnesota,11,681,12499,4599,2986,616,0.467,0,0.628,18.4,6.8,4.4,0.9,20.9,0.08,-1.3,2.3,1983
19,SAS,John Paxson,Notre Dame,11,772,17257,5560,906,2758,0.499,0.355,0.804,22.4,7.2,1.2,3.6,36.3,0.101,-1.3,3,1983
20,CLE,Roy Hinson,Rutgers University,8,507,15543,7206,3452,495,0.499,0,0.741,30.7,14.2,6.8,1,30.2,0.093,-1.1,3.4,1983
21,BOS,Greg Kite,BYU,12,680,10080,1717,2607,345,0.438,0.167,0.486,14.8,2.5,3.8,0.5,5.6,0.027,-4.6,-6.7,1983
22,WSB,Randy Wittman,Indiana,9,543,11594,4034,760,1201,0.501,0.321,0.753,21.4,7.4,1.4,2.2,17.2,0.071,-1.3,2.1,1983
23,IND,Mitchell Wiggins,Florida State,6,389,8105,3877,1235,609,0.46,0.192,0.755,20.8,10,3.2,1.6,15.2,0.09,-1.2,1.6,1983
24,CLE,Stewart Granger,Villanova,3,80,996,316,78,173,0.414,0.235,0.742,12.5,4,1,2.2,-0.1,-0.005,-4.7,-0.7,1983
25,CHI,Sidney Lowe,NC State,4,193,3422,562,335,749,0.367,0.133,0.764,17.7,2.9,1.7,3.9,3.9,0.055,-1.6,0.3,1983
26,IND,Leroy Combs,Oklahoma State,1,48,446,218,56,38,0.497,0,0.615,9.3,4.5,1.2,0.8,0.4,0.041,-0.8,0.1,1983
28,PHO,Rod Foster,UCLA,3,207,3446,1562,258,479,0.44,0.298,0.768,16.6,7.5,1.2,2.3,2.2,0.031,-3.3,-1.1,1983
29,CHI,Larry Micheaux,Houston,2,96,897,330,256,49,0.567,0,0.61,9.3,3.4,2.7,0.5,2.5,0.134,0.4,0.6,1983
30,DAL,Mark West,Old Dominion,17,1090,20213,6259,5347,428,0.58,0,0.568,18.5,5.7,4.9,0.4,41.9,0.1,-1.8,1.1,1983
1,HOU,Hakeem Olajuwon,Houston,18,1238,44222,26946,13748,3058,0.512,0.202,0.712,35.7,21.8,11.1,2.5,162.8,0.177,4.6,74.2,1984
2,POR,Sam Bowie,Kentucky,10,511,14098,5564,3845,1075,0.452,0.302,0.748,27.6,10.9,7.5,2.1,26.9,0.091,-0.3,6.2,1984
3,CHI,Michael Jordan,UNC,15,1072,41011,32292,6672,5633,0.497,0.327,0.835,38.3,30.1,6.2,5.3,214,0.25,9.2,116.1,1984
4,DAL,Sam Perkins,UNC,17,1286,36598,15324,7666,1975,0.459,0.362,0.811,28.5,11.9,6,1.5,105.4,0.138,1.2,29.1,1984
5,PHI,Charles Barkley,Auburn,16,1073,39330,23757,12546,4215,0.541,0.266,0.735,36.7,22.1,11.7,3.9,177.2,0.216,6.1,80.5,1984
6,WSB,Melvin Turpin,Kentucky,5,361,6871,3071,1655,183,0.516,0.111,0.777,19,8.5,4.6,0.5,13.7,0.096,-1.3,1.2,1984
7,SAS,Alvin Robertson,Arkansas,10,779,24669,10882,4066,3929,0.477,0.295,0.743,31.7,14,5.2,5,52.1,0.101,2.6,28.3,1984
8,LAC,Lancaster Gordon,Louisville,4,201,2581,1125,259,294,0.391,0.271,0.767,12.8,5.6,1.3,1.5,-2.7,-0.05,-5.4,-2.2,1984
9,KCK,Otis Thorpe,Providence,17,1257,39822,17600,10370,2730,0.546,0.047,0.687,31.7,14,8.2,2.2,106.4,0.128,-0.1,19.1,1984
10,PHI,Leon Wood,Cal State Fullerton,6,274,4531,1742,316,867,0.392,0.326,0.792,16.5,6.4,1.2,3.2,6.7,0.071,-1.2,0.9,1984
11,ATL,Kevin Willis,Michigan State,21,1424,38362,17253,11901,1328,0.487,0.211,0.713,26.9,12.1,8.4,0.9,81.8,0.102,-2.1,-1,1984
12,CLE,Tim McCormick,Michigan,8,483,10390,4030,2366,491,0.535,0.063,0.703,21.5,8.3,4.9,1,21.5,0.099,-2,0,1984
13,PHO,Jay Humphries,Colorado,11,788,23062,8772,2003,4339,0.476,0.297,0.782,29.3,11.1,2.5,5.5,45,0.094,-0.1,11,1984
14,LAC,Michael Cage,San Diego State,15,1140,29716,8278,8646,1057,0.515,0,0.664,26.1,7.3,7.6,0.9,74.4,0.12,-0.2,13.7,1984
15,DAL,Terence Stansbury,Temple,3,192,2984,1200,277,390,0.444,0.224,0.779,15.5,6.3,1.4,2,2.4,0.038,-3.5,-1.2,1984
16,UTA,John Stockton,Gonzaga,19,1504,47764,19711,4051,15806,0.515,0.384,0.826,31.8,13.1,2.7,10.5,207.7,0.209,6.8,106.5,1984
17,NJN,Jeff Turner,Vanderbilt,10,612,11244,3697,2036,635,0.467,0.344,0.769,18.4,6,3.3,1,8.9,0.038,-4.5,-7.2,1984
18,IND,Vern Fleming,Georgia,12,893,24721,10125,3012,4293,0.498,0.181,0.764,27.7,11.3,3.4,4.8,52,0.101,0.4,15.3,1984
19,POR,Bernard Thompson,Fresno State,5,204,2935,1078,352,266,0.439,0,0.789,14.4,5.3,1.7,1.3,3.4,0.056,-2.9,-0.7,1984
20,DET,Tony Campbell,Ohio State,11,690,15180,7994,2117,1019,0.456,0.254,0.79,22,11.6,3.1,1.5,20.7,0.065,-1.4,2.2,1984
21,MIL,Kenny Fields,UCLA,4,184,2692,1140,464,188,0.474,0.188,0.733,14.6,6.2,2.5,1,4.2,0.074,-2.2,-0.1,1984
22,PHI,Tom Sewell,Lamar,1,21,87,20,4,6,0.25,0,0.5,4.1,1,0.2,0.3,-0.4,-0.201,-12.7,-0.2,1984
24,BOS,Michael Young,Houston,3,49,472,223,88,24,0.465,0.296,0.711,9.6,4.6,1.8,0.5,1.1,0.11,0,0.2,1984
25,IND,Devin Durrant,BYU,2,63,807,317,132,85,0.414,0,0.689,12.8,5,2.1,1.3,-0.2,-0.012,-4.5,-0.5,1984
27,CLE,Ron Anderson,Fresno State,10,664,15112,7056,2312,952,0.471,0.287,0.814,22.8,10.6,3.5,1.4,24.2,0.077,-1.3,2.6,1984
28,SEA,Cory Blackwell,Wisconsin,1,60,551,202,96,26,0.367,0,0.509,9.2,3.4,1.6,0.4,-0.9,-0.081,-7.9,-0.8,1984
29,IND,Stuart Gray,UCLA,7,386,3457,906,1020,148,0.446,0,0.663,9,2.3,2.6,0.4,3.3,0.046,-4.2,-1.9,1984
30,GSW,Steve Burtt,Iona College,4,101,1121,584,92,123,0.426,0.143,0.695,11.1,5.8,0.9,1.2,0,0,-5.1,-0.9,1984
1,NYK,Patrick Ewing,Georgetown,17,1183,40594,24815,11607,2215,0.504,0.152,0.74,34.3,21,9.8,1.9,126.4,0.15,2.9,50.1,1985
2,IND,Wayman Tisdale,Oklahoma,12,840,23868,12878,5117,1077,0.505,0,0.76,28.4,15.3,6.1,1.3,45.7,0.092,-1.6,2.3,1985
3,LAC,Benoit Benjamin,Creighton,15,807,21911,9223,6063,1070,0.497,0.048,0.721,27.2,11.4,7.5,1.3,32.7,0.072,-1.1,4.8,1985
4,SEA,Xavier McDaniel,Wichita State,12,870,25201,13606,5313,1775,0.485,0.261,0.718,29,15.6,6.1,2,47.8,0.091,-0.5,9.6,1985
5,ATL,Jon Koncak,SMU,11,784,16409,3520,3856,785,0.47,0.226,0.597,20.9,4.5,4.9,1,29.2,0.085,-1.2,3.3,1985
6,SAC,Joe Kleine,Arkansas,15,965,14712,4666,3991,622,0.453,0.271,0.794,15.2,4.8,4.1,0.6,19.1,0.062,-3.9,-7,1985
7,GSW,Chris Mullin,St. John's,16,986,32163,17911,4034,3450,0.509,0.384,0.865,32.6,18.2,4.1,3.5,93.1,0.139,3.1,41.6,1985
8,DAL,Detlef Schrempf,Washington,16,1136,33597,15761,7023,3833,0.491,0.384,0.803,29.6,13.9,6.2,3.4,109.5,0.156,1.8,32.4,1985
9,CLE,Charles Oakley,Virginia Union University,19,1282,40280,12417,12205,3217,0.471,0.253,0.761,31.4,9.7,9.5,2.5,89.7,0.107,-0.5,15.4,1985
10,PHO,Ed Pinckney,Villanova,12,793,15698,5378,3952,727,0.535,0,0.765,19.8,6.8,5,0.9,42.7,0.13,0.3,9.2,1985
11,CHI,Keith Lee,Memphis,3,182,2907,1114,861,178,0.451,0.167,0.746,16,6.1,4.7,1,3.7,0.062,-3,-0.7,1985
12,WSB,Kenny Green,Wake Forest,2,60,625,265,101,16,0.412,0,0.721,10.4,4.4,1.7,0.3,-0.3,-0.022,-7.3,-0.8,1985
13,UTA,Karl Malone,Louisiana Tech,19,1476,54852,36928,14968,5248,0.516,0.274,0.742,37.2,25,10.1,3.6,234.6,0.205,5.1,99,1985
14,SAS,Alfredrick Hughes,Loyola Chicago,1,68,866,356,113,61,0.409,0.176,0.583,12.7,5.2,1.7,0.9,-0.5,-0.029,-5.7,-0.8,1985
15,DEN,Blair Rasmussen,Oregon,8,532,11409,5119,3006,467,0.472,0.257,0.767,21.4,9.6,5.7,0.9,19,0.08,-3.2,-3.4,1985
16,DAL,Bill Wennington,St. John's,13,720,9740,3301,2148,440,0.459,0.139,0.787,13.5,4.6,3,0.6,17.7,0.087,-3.7,-4.2,1985
18,DET,Joe Dumars,McNeese State University,14,1018,35139,16401,2203,4612,0.46,0.382,0.843,34.5,16.1,2.2,4.5,86.2,0.118,0.8,25.3,1985
19,HOU,Steve Harris,Tulsa,5,207,2840,1440,365,238,0.434,0.05,0.842,13.7,7,1.8,1.1,3.1,0.053,-2.6,-0.4,1985
20,BOS,Sam Vincent,Michigan State,7,396,7527,3106,819,1543,0.449,0.182,0.863,19,7.8,2.1,3.9,10.9,0.069,-0.8,2.2,1985
21,PHI,Terry Catledge,University of South Alabama,8,515,13541,6520,3314,459,0.485,0.094,0.654,26.3,12.7,6.4,0.9,20.9,0.074,-2.6,-2,1985
22,MIL,Jerry Reynolds,LSU,8,443,8379,4036,1317,904,0.418,0.226,0.749,18.9,9.1,3,2,10.5,0.06,0.6,5.4,1985
23,LAL,A.C. Green,Oregon State,16,1278,36552,12331,9473,1400,0.494,0.254,0.734,28.6,9.6,7.4,1.1,99.5,0.131,-0.2,16.6,1985
24,POR,Terry Porter,University of Wisconsin-Stevens Point,17,1274,35354,15586,3872,7160,0.463,0.386,0.836,27.8,12.2,3,5.6,110.4,0.15,2.9,43.3,1985
25,POR,Mike Smrek,Canisius,7,194,1890,554,422,49,0.431,0,0.617,9.7,2.9,2.2,0.3,0.7,0.018,-6.1,-1.9,1985
26,IND,Bill Martin,Georgetown,3,84,860,397,136,58,0.449,0,0.813,10.2,4.7,1.6,0.7,0.3,0.016,-4.4,-0.5,1985
27,IND,Dwayne McClain,Villanova,1,45,461,157,30,67,0.383,0.111,0.514,10.2,3.5,0.7,1.5,-0.3,-0.026,-3.8,-0.2,1985
1,CLE,Brad Daugherty,UNC,8,548,20029,10389,5227,2028,0.532,0.143,0.747,36.5,19,9.5,3.7,65.2,0.156,2.2,21.3,1986
3,GSW,Chris Washburn,NC State,2,72,645,222,176,22,0.412,0,0.439,9,3.1,2.4,0.3,-0.6,-0.046,-7.4,-0.9,1986
4,IND,Chuck Person,Auburn,13,943,28941,13858,4763,2645,0.458,0.362,0.723,30.7,14.7,5.1,2.8,38.9,0.065,-0.7,9.2,1986
5,NYK,Kenny Walker,Kentucky,7,448,9050,3128,1793,299,0.485,0.206,0.749,20.2,7,4,0.7,17.9,0.095,-1.8,0.6,1986
6,PHO,William Bedford,Memphis,6,238,2514,964,573,109,0.416,0.318,0.605,10.6,4.1,2.4,0.5,0.9,0.017,-4.8,-1.8,1986
7,DAL,Roy Tarpley,Michigan,6,280,7476,3533,2803,292,0.483,0.176,0.744,26.7,12.6,10,1,19.8,0.127,-0.2,3.4,1986
8,CLE,Ron Harper,Miami University,15,1009,31199,13910,4309,3916,0.446,0.289,0.72,30.9,13.8,4.3,3.9,65.8,0.101,1.9,30.3,1986
9,CHI,Brad Sellers,Ohio State,6,398,7154,2509,1064,435,0.452,0.2,0.793,18,6.3,2.7,1.1,9.8,0.066,-2.2,-0.4,1986
10,SAS,Johnny Dawkins,Duke,9,541,14859,5984,1336,2997,0.456,0.33,0.857,27.5,11.1,2.5,5.5,21.8,0.07,-0.9,4.2,1986
11,DET,John Salley,Georgia Tech,11,748,16524,5228,3356,916,0.506,0.214,0.714,22.1,7,4.5,1.2,41.5,0.121,0.5,10.5,1986
12,WSB,John Williams,LSU,8,435,10952,4406,2201,1262,0.451,0.225,0.704,25.2,10.1,5.1,2.9,19.9,0.087,1.2,8.8,1986
13,NJN,Pearl Washington,Syracuse,3,194,4044,1660,370,733,0.452,0.184,0.746,20.8,8.6,1.9,3.8,1.9,0.023,-1.7,0.3,1986
14,POR,Walter Berry,St. John's,3,205,4863,2882,971,292,0.539,0.2,0.638,23.7,14.1,4.7,1.4,8.2,0.081,-1,1.2,1986
15,UTA,Dell Curry,Virginia Tech,16,1083,23549,12670,2617,1909,0.457,0.402,0.843,21.7,11.7,2.4,1.8,41.5,0.085,0.9,17.1,1986
16,DEN,Maurice Martin,Saint Joseph's,2,69,422,204,65,49,0.378,0.211,0.598,6.1,3,0.9,0.7,-0.3,-0.033,-6,-0.4,1986
17,SAC,Harold Pressley,Villanova,4,299,6802,2702,1339,628,0.437,0.358,0.778,22.7,9,4.5,2.1,10,0.07,0.3,4,1986
18,DEN,Mark Alarie,Duke,5,325,5500,2432,1120,363,0.475,0.252,0.775,16.9,7.5,3.4,1.1,8.4,0.073,-2.3,-0.5,1986
19,ATL,Billy Thompson,Louisville,6,300,6697,2566,1615,514,0.505,0.154,0.674,22.3,8.6,5.4,1.7,9.6,0.069,-1.3,1.2,1986
20,HOU,Buck Johnson,Alabama,7,505,11849,4617,1760,856,0.488,0.113,0.738,23.5,9.1,3.5,1.7,20.8,0.084,-1.4,1.7,1986
21,WSB,Anthony Jones,UNLV,3,164,1704,594,214,119,0.393,0.306,0.74,10.4,3.6,1.3,0.7,0.8,0.022,-2.8,-0.3,1986
22,MIL,Scott Skiles,Michigan State,10,600,16789,6652,1526,3881,0.435,0.379,0.889,28,11.1,2.5,6.5,30.4,0.087,-0.4,6.7,1986
25,DAL,Mark Price,Georgia Tech,12,722,21560,10989,1848,4863,0.472,0.402,0.904,29.9,15.2,2.6,6.7,71.1,0.158,3.7,31.1,1986
26,IND,Greg Dreiling,Kansas,10,474,4241,1014,1018,186,0.467,0.333,0.649,8.9,2.1,2.1,0.4,4,0.045,-5.3,-3.5,1986
27,DET,Dennis Rodman,Southeastern Oklahoma State University,14,911,28839,6683,11954,1600,0.521,0.231,0.584,31.7,7.3,13.1,1.8,89.8,0.15,0.9,21,1986
28,CHI,Larry Krystkowiak,Montana,9,420,9097,3425,2051,513,0.457,0.139,0.795,21.7,8.2,4.9,1.2,15.6,0.082,-2.7,-1.6,1986
29,CLE,Johnny Newman,Richmond,16,1159,28435,12740,2536,1688,0.461,0.336,0.81,24.5,11,2.2,1.5,50.3,0.085,-1.6,2.9,1986
30,SEA,Nate McMillan,NC State,12,796,20462,4733,3222,4893,0.443,0.343,0.65,25.7,5.9,4,6.1,50.2,0.118,3.3,27.2,1986
1,SAS,David Robinson,United States Naval Academy,14,987,34271,20790,10497,2441,0.518,0.25,0.736,34.7,21.1,10.6,2.5,178.7,0.25,7.5,81.9,1987
2,PHO,Armen Gilliam,UNLV,13,929,26421,12700,6401,1088,0.489,0,0.776,28.4,13.7,6.9,1.2,58.1,0.106,-0.7,8.8,1987
3,NJN,Dennis Hopson,Ohio State,5,334,7509,3633,939,539,0.431,0.271,0.765,22.5,10.9,2.8,1.6,7.1,0.046,-1.7,0.7,1987
4,LAC,Reggie Williams,Georgetown,10,599,16013,7508,2393,1492,0.437,0.298,0.784,26.7,12.5,4,2.5,26,0.078,0.2,9,1987
5,SEA,Scottie Pippen,University of Central Arkansas,17,1178,41069,18940,7494,6135,0.473,0.326,0.704,34.9,16.1,6.4,5.2,125.1,0.146,4.1,63.2,1987
6,SAC,Kenny Smith,UNC,10,737,22213,9397,1454,4073,0.48,0.399,0.829,30.1,12.8,2,5.5,46.8,0.101,0,11.2,1987
7,CLE,Kevin Johnson,California,12,735,25061,13127,2404,6711,0.493,0.305,0.841,34.1,17.9,3.3,9.1,92.8,0.178,3.9,37.3,1987
8,CHI,Olden Polynice,Virginia,15,1058,24884,8265,7110,744,0.505,0.192,0.535,23.5,7.8,6.7,0.7,46.8,0.09,-2.3,-1.8,1987
9,SEA,Derrick McKey,Alabama,15,937,27229,10266,4387,2254,0.486,0.316,0.779,29.1,11,4.7,2.4,61.8,0.109,1,20.4,1987
10,CHI,Horace Grant,Clemson,17,1165,38621,12996,9443,2575,0.509,0.063,0.692,33.2,11.2,8.1,2.2,118.2,0.147,1.4,33,1987
11,IND,Reggie Miller,UCLA,18,1389,47619,25279,4182,4141,0.471,0.395,0.888,34.3,18.2,3,3,174.4,0.176,3.5,66.1,1987
12,WSB,Muggsy Bogues,Wake Forest,14,889,25429,6858,2318,6726,0.458,0.278,0.827,28.6,7.7,2.6,7.6,54,0.102,0.8,17.9,1987
13,LAC,Joe Wolf,UNC,11,592,9636,2485,1933,596,0.423,0.164,0.77,16.3,4.2,3.3,1,3.5,0.017,-4.8,-6.7,1987
14,GSW,Tellis Frank,Western Kentucky,5,264,4703,1710,1022,276,0.439,0,0.741,17.8,6.5,3.9,1,4,0.041,-4.1,-2.5,1987
15,UTA,José Ortiz,Oregon State,2,64,391,183,73,18,0.443,0.333,0.596,6.1,2.9,1.1,0.3,0,0.002,-6.4,-0.4,1987
16,PHI,Chris Welp,Washington,3,109,1173,359,265,43,0.446,0,0.681,10.8,3.3,2.4,0.4,1,0.042,-5,-0.9,1987
17,POR,Ronnie Murphy,Jacksonville University,1,18,89,36,11,6,0.286,0.25,0.636,4.9,2,0.6,0.3,-0.2,-0.13,-11.5,-0.2,1987
18,NYK,Mark Jackson,St. John's,17,1296,39121,12489,4963,10334,0.447,0.332,0.77,30.2,9.6,3.8,8,91.8,0.113,1.8,37.5,1987
19,LAC,Ken Norman,Illinois,10,646,18992,8717,3949,1355,0.486,0.312,0.567,29.4,13.5,6.1,2.1,27.1,0.069,-1,4.9,1987
20,DAL,Jim Farmer,Alabama,5,136,1454,715,186,111,0.428,0.282,0.73,10.7,5.3,1.4,0.8,0.7,0.024,-4.3,-0.8,1987
21,ATL,Dallas Comegys,DePaul,2,142,2241,856,452,95,0.457,0,0.682,15.8,6,3.2,0.7,1.1,0.024,-3.6,-0.9,1987
22,BOS,Reggie Lewis,Northeastern University,6,450,14676,7902,1938,1153,0.488,0.2,0.824,32.6,17.6,4.3,2.6,38.9,0.127,1.4,12.4,1987
23,SAS,Greg Anderson,Houston,10,680,14040,4953,4246,385,0.492,0.087,0.557,20.6,7.3,6.2,0.6,18.7,0.064,-3,-3.7,1987
26,DAL,Steve Alford,Indiana,4,169,1641,744,144,176,0.459,0.324,0.87,9.7,4.4,0.9,1,3.2,0.093,-0.9,0.5,1987
27,SAS,Nate Blackwell,Temple,1,10,112,37,6,18,0.366,0.182,0.833,11.2,3.7,0.6,1.8,-0.1,-0.045,-7.2,-0.1,1987
28,CHI,Rickie Winslow,Houston,1,7,45,7,7,2,0.231,0,0.5,6.4,1,1,0.3,-0.2,-0.165,-14.8,-0.1,1987
1,LAC,Danny Manning,Kansas,15,883,24202,12367,4615,2063,0.511,0.206,0.729,27.4,14,5.2,2.3,55.1,0.109,1,18.4,1988
2,IND,Rik Smits,Marist College,12,867,23100,12871,5277,1215,0.507,0.115,0.773,26.6,14.8,6.1,1.4,56.6,0.118,-0.2,10.4,1988
3,PHI,Charles Smith,Pitt,9,564,16378,8107,3246,798,0.475,0.194,0.774,29,14.4,5.8,1.4,40.9,0.12,-0.1,8.1,1988
4,NJN,Chris Morris,Auburn,11,747,18748,8184,3544,1182,0.441,0.306,0.739,25.1,11,4.7,1.6,37.4,0.096,0.9,13.7,1988
5,GSW,Mitch Richmond,Kansas State,14,976,34309,20497,3801,3398,0.455,0.388,0.85,35.2,21,3.9,3.5,79.3,0.111,1.4,29.3,1988
6,LAC,Hersey Hawkins,Bradley,13,983,32034,14470,3554,2860,0.461,0.394,0.87,32.6,14.7,3.6,2.9,90.6,0.136,2,32.6,1988
7,PHO,Tim Perry,Temple,8,481,9436,3283,1911,436,0.485,0.318,0.648,19.6,6.8,4,0.9,14.6,0.074,-1.4,1.5,1988
8,CHH,Rex Chapman,Kentucky,12,666,19542,9731,1645,1798,0.43,0.35,0.8,29.3,14.6,2.5,2.7,24.7,0.061,-1,5.2,1988
9,MIA,Rony Seikaly,Syracuse,11,678,21395,9991,6424,860,0.484,0.188,0.679,31.6,14.7,9.5,1.3,37.3,0.084,-1.9,0.6,1988
10,SAS,Willie Anderson,Georgia,9,555,15974,6771,2082,2105,0.471,0.266,0.786,28.8,12.2,3.8,3.8,27.9,0.084,0.1,8.6,1988
