Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
3,PHI,Jahlil Okafor,Duke,7,248,4830,2566,1170,226,0.542,0.222,0.676,19.5,10.3,4.7,0.9,7.2,0.071,-2,0,2015
6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,0.544,0.188,0.612,22,8.7,5.9,1.4,23.3,0.121,-0.1,4.4,2015
8,DET,Stanley Johnson,Arizona,8,449,8879,2806,1404,679,0.391,0.305,0.748,19.8,6.2,3.1,1.5,6.9,0.037,-2.7,-1.6,2015
9,CHO,Frank Kaminsky,Wisconsin,8,413,8160,3630,1579,651,0.43,0.349,0.746,19.8,8.8,3.8,1.6,15.9,0.094,-0.2,3.7,2015
10,MIA,Justise Winslow,Duke,8,344,8906,2829,1760,889,0.412,0.315,0.638,25.9,8.2,5.1,2.6,8.2,0.044,-2.1,-0.3,2015
11,IND,Myles Turner,Texas,10,642,18454,9031,4349,813,0.499,0.362,0.771,28.7,14.1,6.8,1.3,48.7,0.127,0.8,13,2015
12,UTA,Trey Lyles,Kentucky,10,650,11970,4935,2826,697,0.441,0.347,0.741,18.4,7.6,4.3,1.1,22,0.088,-1,3,2015
13,PHO,Devin Booker,Kentucky,10,673,23149,16452,2718,3522,0.464,0.354,0.873,34.4,24.4,4,5.2,51.5,0.107,1.1,17.9,2015
14,OKC,Cameron Payne,Murray State,10,477,8356,3703,951,1527,0.419,0.368,0.836,17.5,7.8,2,3.2,13.9,0.08,-0.6,3,2015
15,ATL,Kelly Oubre Jr.,Kansas,10,655,17742,8696,3032,747,0.438,0.325,0.751,27.1,13.3,4.6,1.1,24.9,0.067,-1.9,0.6,2015
16,BOS,Terry Rozier,Louisville,10,665,18357,9252,2610,2337,0.418,0.361,0.829,27.6,13.9,3.9,3.5,30.5,0.08,0.2,10.1,2015
17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2,2015
18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,0.478,0.288,0.606,15.4,5.4,3,0.8,5.4,0.083,-1.4,0.5,2015
19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5,2015
20,TOR,Delon Wright,Utah,10,548,11175,3656,1650,1636,0.447,0.348,0.799,20.4,6.7,3,3,28.9,0.124,1.9,11.1,2015
21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,0.41,0.292,0.775,13.6,5.3,2.6,0.8,4.9,0.072,-1.5,0.4,2015
22,CHI,Bobby Portis,Arkansas,10,654,14907,7818,4685,850,0.478,0.383,0.765,22.8,12,7.2,1.3,33.8,0.109,-0.4,6,2015
23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,-0.7,2.3,2015
24,CLE,Tyus Jones,Duke,10,682,14424,5249,1374,3022,0.445,0.378,0.821,21.1,7.7,2,4.4,33.9,0.113,0.5,9.3,2015
25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7,2015
27,LAL,Larry Nance Jr.,Wyoming,10,546,12587,4204,3341,1017,0.539,0.353,0.696,23.1,7.7,6.1,1.9,34.7,0.132,1.2,10.3,2015
28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,-2,0,2015
29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1,2015
30,GSW,Kevon Looney,UCLA,10,599,10309,2977,3391,956,0.575,0.185,0.608,17.2,5,5.7,1.6,37.4,0.174,0.4,6.2,2015
1,PHI,Ben Simmons,LSU,7,383,11910,5021,2840,2754,0.558,0.139,0.592,31.1,13.1,7.4,7.2,35.4,0.143,3,15,2016
2,LAL,Brandon Ingram,Duke,9,495,16316,9656,2566,2130,0.468,0.363,0.788,33,19.5,5.2,4.3,27.3,0.08,0.1,8.6,2016
3,BOS,Jaylen Brown,California,9,603,18465,11436,3208,1589,0.478,0.359,0.726,30.6,19,5.3,2.6,40.5,0.105,0.3,10.8,2016
5,MIN,Kris Dunn,Providence,9,407,9497,3116,1355,1617,0.437,0.327,0.736,23.3,7.7,3.3,4,11.8,0.059,-1.1,2.2,2016
6,NOP,Buddy Hield,Oklahoma,9,714,20180,10732,2936,1775,0.433,0.397,0.858,28.3,15,4.1,2.5,27.7,0.066,0.3,11.5,2016
7,DEN,Jamal Murray,Kentucky,8,536,16796,9623,2018,2509,0.455,0.381,0.87,31.3,18,3.8,4.7,38.1,0.109,0.9,12.4,2016
8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,0.456,0.29,0.667,18.3,7.6,4.7,1,6.5,0.058,-2.4,-0.5,2016
9,TOR,Jakob Poeltl,Utah,9,595,13320,5311,4153,1083,0.631,0.429,0.555,22.4,8.9,7,1.8,44.2,0.159,1.2,10.9,2016
11,ORL,Domantas Sabonis,Gonzaga,9,646,19899,10401,6880,3162,0.56,0.347,0.729,30.8,16.1,10.7,4.9,69.9,0.169,3.4,27.2,2016
12,UTA,Taurean Prince,Baylor,9,582,14402,5745,2091,1005,0.428,0.384,0.811,24.7,9.9,3.6,1.7,15,0.05,-2,-0.1,2016
14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787,18.8,7,3.3,1.8,4.5,0.044,-1.9,0.2,2016
17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5,2016
18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,0.371,0.336,0.773,9.5,4.1,2.5,0.6,0.4,0.023,-3.7,-0.3,2016
19,DEN,Malik Beasley,Florida State,9,578,13739,6738,1612,789,0.426,0.391,0.769,23.8,11.7,2.8,1.4,20.1,0.07,-0.9,3.7,2016
20,IND,Caris LeVert,Michigan,9,524,14551,7274,1981,2105,0.437,0.345,0.736,27.8,13.9,3.8,4,23.9,0.079,-0.2,6.5,2016
21,ATL,DeAndre' Bembry,Saint Joseph's,6,296,5670,1750,950,533,0.474,0.283,0.611,19.2,5.9,3.2,1.8,4.4,0.038,-2.3,-0.4,2016
22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,8.9,2.8,1,0.3,-0.1,-0.009,-6.1,-0.7,2016
25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0,2016
27,TOR,Pascal Siakam,New Mexico State,9,629,19637,11325,4183,2261,0.499,0.339,0.763,31.2,18,6.7,3.6,55.5,0.136,2,19.6,2016
28,PHO,Skal Labissière,Kentucky,5,152,2607,1074,665,153,0.492,0.36,0.748,17.2,7.1,4.4,1,4.4,0.081,-2.3,-0.2,2016
29,SAS,Dejounte Murray,Washington,8,503,14745,7803,2925,2718,0.453,0.34,0.79,29.3,15.5,5.8,5.4,26.2,0.085,1.4,12.6,2016
30,GSW,Damian Jones,Vanderbilt,8,279,3782,1366,869,193,0.656,0.351,0.715,13.6,4.9,3.1,0.7,11.3,0.143,-1,1,2016
